Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Jamppi,BBL,Map_2_2Split,All,Breach,1.69,203,12,3,4,+9,87%,125,29%,0,0,0
sociablEE,BBL,Map_2_2Split,All,Tejo,1.53,281,18,6,1,+12,80%,177,23%,1,2,-1
PROFEK,BBL,Map_2_2Split,All,Omen,1.49,285,14,8,9,+6,73%,196,29%,3,1,+2
LewN,BBL,Map_2_2Split,All,Raze,1.28,207,12,7,2,+5,80%,131,25%,4,1,+3
MAGNUM,BBL,Map_2_2Split,All,Cypher,1.03,163,8,7,4,+1,93%,110,30%,3,0,+3
xeus,FUT,Map_2_2Split,All,Yoru,0.79,145,7,13,4,-6,53%,104,32%,3,2,+1
MrFaliN,FUT,Map_2_2Split,All,Tejo,0.64,152,8,12,3,-4,60%,92,32%,0,2,-2
AtaKaptan,FUT,Map_2_2Split,All,Omen,0.62,157,8,13,0,-5,47%,110,25%,0,1,-1
yetujey,FUT,Map_2_2Split,All,Viper,0.50,118,5,13,3,-8,60%,83,16%,1,3,-2
qRaxs,FUT,Map_2_2Split,All,Fade,0.24,71,3,13,3,-10,33%,48,31%,0,3,-3
Jamppi,BBL,Map_2_2Split,Attack,Breach,1.19,77,1,0,0,+1,100%,59,20%,0,0,0
sociablEE,BBL,Map_2_2Split,Attack,Tejo,0.43,77,1,2,0,-1,67%,47,0%,0,0,0
PROFEK,BBL,Map_2_2Split,Attack,Omen,2.12,398,5,2,2,+3,100%,299,60%,1,0,+1
LewN,BBL,Map_2_2Split,Attack,Raze,2.92,418,5,0,1,+5,100%,285,45%,1,0,+1
MAGNUM,BBL,Map_2_2Split,Attack,Cypher,1.02,247,3,2,0,+1,100%,149,43%,1,0,+1
xeus,FUT,Map_2_2Split,Attack,Yoru,0.78,155,6,10,2,-4,50%,113,38%,3,2,+1
MrFaliN,FUT,Map_2_2Split,Attack,Tejo,0.79,173,7,9,3,-2,67%,107,38%,0,2,-2
AtaKaptan,FUT,Map_2_2Split,Attack,Omen,0.62,143,6,10,0,-4,50%,98,23%,0,0,0
yetujey,FUT,Map_2_2Split,Attack,Viper,0.59,133,5,10,1,-5,58%,89,15%,1,1,0
qRaxs,FUT,Map_2_2Split,Attack,Fade,0.17,39,1,10,3,-9,33%,30,43%,0,3,-3
Jamppi,BBL,Map_2_2Split,Defend,Breach,1.81,235,11,3,4,+8,83%,141,31%,0,0,0
sociablEE,BBL,Map_2_2Split,Defend,Tejo,1.80,333,17,4,1,+13,83%,210,23%,1,2,-1
PROFEK,BBL,Map_2_2Split,Defend,Omen,1.34,257,9,6,7,+3,67%,170,20%,2,1,+1
LewN,BBL,Map_2_2Split,Defend,Raze,0.86,155,7,7,1,0,75%,92,12%,3,1,+2
MAGNUM,BBL,Map_2_2Split,Defend,Cypher,1.04,143,5,5,4,0,92%,100,27%,2,0,+2
xeus,FUT,Map_2_2Split,Defend,Yoru,0.84,108,1,3,2,-2,67%,69,17%,0,0,0
MrFaliN,FUT,Map_2_2Split,Defend,Tejo,0.06,72,1,3,0,-2,33%,30,0%,0,0,0
AtaKaptan,FUT,Map_2_2Split,Defend,Omen,0.63,215,2,3,0,-1,33%,156,33%,0,1,-1
yetujey,FUT,Map_2_2Split,Defend,Viper,0.14,59,0,3,2,-3,67%,59,20%,0,2,-2
qRaxs,FUT,Map_2_2Split,Defend,Fade,0.50,198,2,3,0,-1,33%,118,22%,0,0,0
