Map,Round Number,Score,Winning Team,Winning Side,Win Method
1Split,1,"""1-0""",TH,Attackers,Elimination
1Split,2,"""2-0""",TH,Attackers,Elimination
1Split,3,"""3-0""",TH,Attackers,Spike Detonation
1Split,4,"""4-0""",TH,Attackers,Elimination
1Split,5,"""5-0""",TH,Attackers,Elimination
1Split,6,"""6-0""",TH,Attackers,Elimination
1Split,7,"""7-0""",TH,Attackers,Elimination
1Split,8,"""7-1""",FNC,Defenders,Elimination
1Split,9,"""8-1""",TH,Attackers,Elimination
1Split,10,"""9-1""",TH,Attackers,Elimination
1Split,11,"""9-2""",FNC,Defenders,Elimination
1Split,12,"""9-3""",FNC,Defenders,Defuse
1Split,13,"""10-3""",FNC,Defenders,Defuse
1Split,14,"""11-3""",FNC,Defenders,Elimination
1Split,15,"""11-4""",TH,Attackers,Elimination
1Split,16,"""12-4""",FNC,Defenders,Elimination
1Split,17,"""13-4""",FNC,Defenders,Elimination
1Split,18,"""""",,,
1Split,19,"""""",,,
1Split,20,"""""",,,
1Split,21,"""""",,,
1Split,22,"""""",,,
1Split,23,"""""",,,
1Split,24,"""""",,,
