Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
hiro,NAVI,Map_1_1Icebox,All,Killjoy,1.08,216,22,17,4,+5,77%,148,31%,1,2,-1
ANGE1,NAVI,Map_1_1Icebox,All,Tejo,1.02,184,18,17,2,+1,73%,122,33%,2,2,0
koalanoob,NAVI,Map_1_1Icebox,All,Omen,0.97,182,18,18,9,0,58%,109,31%,1,2,-1
Shao,NAVI,Map_1_1Icebox,All,Gekko,0.92,170,14,16,5,-2,73%,127,25%,3,4,-1
Ruxic,NAVI,Map_1_1Icebox,All,Viper,0.75,216,17,23,7,-6,65%,142,31%,5,4,+1
marteen,KC,Map_1_1Icebox,All,Omen,1.27,272,26,20,6,+6,77%,163,43%,2,3,-1
saadhak,KC,Map_1_1Icebox,All,Kayo,1.13,217,18,15,10,+3,81%,144,25%,5,2,+3
SUYGETSU,KC,Map_1_1Icebox,All,Viper,0.96,199,17,19,6,-2,65%,142,22%,4,3,+1
Elite,KC,Map_1_1Icebox,All,Killjoy,0.91,172,15,18,3,-3,69%,120,29%,3,1,+2
Avez,KC,Map_1_1Icebox,All,Tejo,0.81,138,15,17,1,-2,65%,101,63%,0,3,-3
hiro,NAVI,Map_1_1Icebox,Attack,Killjoy,1.23,243,13,7,1,+6,85%,164,30%,0,0,0
ANGE1,NAVI,Map_1_1Icebox,Attack,Tejo,1.23,217,10,6,2,+4,85%,152,29%,1,2,-1
koalanoob,NAVI,Map_1_1Icebox,Attack,Omen,1.10,242,12,9,6,+3,69%,142,28%,1,1,0
Shao,NAVI,Map_1_1Icebox,Attack,Gekko,1.47,244,11,5,3,+6,92%,169,24%,3,0,+3
Ruxic,NAVI,Map_1_1Icebox,Attack,Viper,0.70,192,8,11,4,-3,69%,133,30%,2,3,-1
marteen,KC,Map_1_1Icebox,Attack,Omen,0.92,239,12,10,1,+2,69%,151,40%,1,2,-1
saadhak,KC,Map_1_1Icebox,Attack,Kayo,1.78,281,12,4,7,+8,100%,186,24%,3,1,+2
SUYGETSU,KC,Map_1_1Icebox,Attack,Viper,1.61,295,14,7,2,+7,85%,202,25%,3,0,+3
Elite,KC,Map_1_1Icebox,Attack,Killjoy,0.76,149,6,8,0,-2,77%,97,32%,1,0,+1
Avez,KC,Map_1_1Icebox,Attack,Tejo,0.97,160,9,6,1,+3,85%,115,71%,0,2,-2
hiro,NAVI,Map_1_1Icebox,Defend,Killjoy,0.92,190,9,10,3,-1,69%,132,31%,1,2,-1
ANGE1,NAVI,Map_1_1Icebox,Defend,Tejo,0.81,153,8,11,0,-3,62%,91,45%,1,0,+1
koalanoob,NAVI,Map_1_1Icebox,Defend,Omen,0.84,122,6,9,3,-3,46%,76,40%,0,1,-1
Shao,NAVI,Map_1_1Icebox,Defend,Gekko,0.38,98,3,11,2,-8,54%,85,29%,0,4,-4
Ruxic,NAVI,Map_1_1Icebox,Defend,Viper,0.80,240,9,12,3,-3,62%,150,31%,3,1,+2
marteen,KC,Map_1_1Icebox,Defend,Omen,1.63,306,14,10,5,+4,85%,176,46%,1,1,0
saadhak,KC,Map_1_1Icebox,Defend,Kayo,0.49,154,6,11,3,-5,62%,102,29%,2,1,+1
SUYGETSU,KC,Map_1_1Icebox,Defend,Viper,0.32,105,3,12,4,-9,46%,82,18%,1,3,-2
Elite,KC,Map_1_1Icebox,Defend,Killjoy,1.05,197,9,10,3,-1,62%,142,27%,2,1,+1
Avez,KC,Map_1_1Icebox,Defend,Tejo,0.66,117,6,11,0,-5,46%,88,54%,0,1,-1
