Map,Round Number,Score,Winning Team,Winning Side,Win Method
1Split,1,"""1-0""",TL,Defenders,Elimination
1Split,2,"""2-0""",TL,Defenders,Elimination
1Split,3,"""2-1""",FNC,Attackers,Elimination
1Split,4,"""3-1""",TL,Defenders,Elimination
1Split,5,"""3-2""",FNC,Attackers,Spike Detonation
1Split,6,"""3-3""",FNC,Attackers,Elimination
1Split,7,"""3-4""",FNC,Attackers,Elimination
1Split,8,"""3-5""",FNC,Attackers,Spike Detonation
1Split,9,"""4-5""",TL,Defenders,Time Expired
1Split,10,"""5-5""",TL,Defenders,Defuse
1Split,11,"""6-5""",TL,Defenders,Elimination
1Split,12,"""7-5""",TL,Defenders,Elimination
1Split,13,"""7-6""",TL,Defenders,Elimination
1Split,14,"""8-6""",FNC,Attackers,Elimination
1Split,15,"""9-6""",FNC,Attackers,Spike Detonation
1Split,16,"""9-7""",TL,Defenders,Time Expired
1Split,17,"""9-8""",TL,Defenders,Elimination
1Split,18,"""9-9""",TL,Defenders,Defuse
1Split,19,"""9-10""",TL,Defenders,Elimination
1Split,20,"""9-11""",TL,Defenders,Elimination
1Split,21,"""9-12""",TL,Defenders,Elimination
1Split,22,"""10-12""",FNC,Attackers,Elimination
1Split,23,"""10-13""",TL,Defenders,Elimination
1Split,24,"""""",,,
