Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
keiko,TL,Map_1_1Icebox,All,Jett,1.30,238,22,15,1,+7,75%,175,40%,3,0,+3
kamo,TL,Map_1_1Icebox,All,Gekko,1.05,233,18,19,5,-1,75%,143,38%,5,2,+3
nAts,TL,Map_1_1Icebox,All,Viper,0.90,153,13,16,4,-3,75%,117,25%,3,3,0
Serial,TL,Map_1_1Icebox,All,Killjoy,0.76,141,11,16,5,-5,67%,105,31%,1,1,0
paTiTek,TL,Map_1_1Icebox,All,Kayo,0.59,133,8,18,12,-10,75%,88,28%,1,5,-4
hiro,NAVI,Map_1_1Icebox,All,Killjoy,1.43,298,26,14,2,+12,79%,180,29%,0,2,-2
Ruxic,NAVI,Map_1_1Icebox,All,Viper,1.04,199,16,15,4,+1,88%,137,40%,4,2,+2
koalanoob,NAVI,Map_1_1Icebox,All,Omen,0.95,195,15,16,13,-1,71%,138,26%,5,3,+2
ANGE1,NAVI,Map_1_1Icebox,All,Tejo,0.94,130,13,13,3,0,75%,94,57%,2,4,-2
Shao,NAVI,Map_1_1Icebox,All,Gekko,0.85,160,14,14,4,0,71%,103,35%,0,2,-2
keiko,TL,Map_1_1Icebox,Attack,Jett,1.01,218,9,7,0,+2,67%,153,35%,3,0,+3
kamo,TL,Map_1_1Icebox,Attack,Gekko,0.76,205,7,10,4,-3,83%,133,25%,4,0,+4
nAts,TL,Map_1_1Icebox,Attack,Viper,1.14,180,9,7,0,+2,75%,129,26%,2,0,+2
Serial,TL,Map_1_1Icebox,Attack,Killjoy,1.04,189,8,8,3,0,75%,139,28%,1,0,+1
paTiTek,TL,Map_1_1Icebox,Attack,Kayo,0.65,124,3,8,11,-5,92%,79,38%,0,2,-2
hiro,NAVI,Map_1_1Icebox,Attack,Killjoy,1.28,262,11,7,0,+4,75%,170,19%,0,1,-1
Ruxic,NAVI,Map_1_1Icebox,Attack,Viper,1.06,223,10,8,2,+2,83%,149,31%,3,1,+2
koalanoob,NAVI,Map_1_1Icebox,Attack,Omen,0.84,191,7,9,8,-2,75%,137,25%,4,0,+4
ANGE1,NAVI,Map_1_1Icebox,Attack,Tejo,1.23,153,8,5,1,+3,83%,114,73%,2,0,+2
Shao,NAVI,Map_1_1Icebox,Attack,Gekko,0.89,179,8,7,1,+1,83%,123,33%,0,1,-1
keiko,TL,Map_1_1Icebox,Defend,Jett,1.58,259,13,8,1,+5,83%,196,47%,0,0,0
kamo,TL,Map_1_1Icebox,Defend,Gekko,1.34,262,11,9,1,+2,67%,153,52%,1,2,-1
nAts,TL,Map_1_1Icebox,Defend,Viper,0.66,126,4,9,4,-5,75%,105,24%,1,3,-2
Serial,TL,Map_1_1Icebox,Defend,Killjoy,0.47,94,3,8,2,-5,58%,70,36%,0,1,-1
paTiTek,TL,Map_1_1Icebox,Defend,Kayo,0.54,144,5,10,1,-5,58%,97,21%,1,3,-2
hiro,NAVI,Map_1_1Icebox,Defend,Killjoy,1.58,334,15,7,2,+8,83%,190,42%,0,1,-1
Ruxic,NAVI,Map_1_1Icebox,Defend,Viper,1.02,176,6,7,2,-1,92%,125,57%,1,1,0
koalanoob,NAVI,Map_1_1Icebox,Defend,Omen,1.05,199,8,7,5,+1,67%,138,27%,1,3,-2
ANGE1,NAVI,Map_1_1Icebox,Defend,Tejo,0.65,108,5,8,2,-3,67%,75,42%,0,4,-4
Shao,NAVI,Map_1_1Icebox,Defend,Gekko,0.82,142,6,7,3,-1,58%,82,38%,0,1,-1
