Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
crashies,FNC,Map_3_3Icebox,All,Sova,1.28,261,22,16,5,+6,79%,196,36%,0,0,0
kaajak,FNC,Map_3_3Icebox,All,Jett,1.13,213,20,15,2,+5,75%,137,34%,4,3,+1
Alfajer,FNC,Map_3_3Icebox,All,Killjoy,0.88,170,15,16,2,-1,63%,112,33%,5,4,+1
Boaster,FNC,Map_3_3Icebox,All,Viper,0.81,186,16,18,6,-2,58%,130,30%,4,2,+2
Chronicle,FNC,Map_3_3Icebox,All,Sage,0.64,139,12,18,7,-6,54%,87,38%,1,1,0
Avez,KC,Map_3_3Icebox,All,Sova,1.57,315,28,17,4,+11,71%,202,42%,1,1,0
SUYGETSU,KC,Map_3_3Icebox,All,Viper,0.93,192,17,16,4,+1,54%,123,41%,3,7,-4
saadhak,KC,Map_3_3Icebox,All,Kayo,0.89,162,11,17,17,-6,71%,100,15%,2,0,+2
marteen,KC,Map_3_3Icebox,All,Omen,0.87,199,13,18,11,-5,75%,126,40%,2,2,0
Elite,KC,Map_3_3Icebox,All,Killjoy,0.86,168,14,17,1,-3,46%,112,55%,2,4,-2
crashies,FNC,Map_3_3Icebox,Attack,Sova,1.35,279,12,8,2,+4,83%,198,43%,0,0,0
kaajak,FNC,Map_3_3Icebox,Attack,Jett,1.21,237,11,8,1,+3,75%,150,33%,2,2,0
Alfajer,FNC,Map_3_3Icebox,Attack,Killjoy,0.73,129,5,8,1,-3,75%,88,36%,2,2,0
Boaster,FNC,Map_3_3Icebox,Attack,Viper,0.49,151,6,10,2,-4,50%,96,38%,2,1,+1
Chronicle,FNC,Map_3_3Icebox,Attack,Sage,0.75,171,8,9,3,-1,50%,113,42%,0,1,-1
Avez,KC,Map_3_3Icebox,Attack,Sova,1.50,305,14,8,2,+6,58%,197,55%,1,0,+1
SUYGETSU,KC,Map_3_3Icebox,Attack,Viper,0.60,131,5,8,3,-3,50%,80,36%,1,4,-3
saadhak,KC,Map_3_3Icebox,Attack,Kayo,0.99,215,8,9,5,-1,58%,126,13%,1,0,+1
marteen,KC,Map_3_3Icebox,Attack,Omen,0.75,184,6,10,7,-4,75%,115,47%,0,2,-2
Elite,KC,Map_3_3Icebox,Attack,Killjoy,0.98,178,7,8,1,-1,50%,119,50%,1,2,-1
crashies,FNC,Map_3_3Icebox,Defend,Sova,1.21,244,10,8,3,+2,75%,195,29%,0,0,0
kaajak,FNC,Map_3_3Icebox,Defend,Jett,1.05,190,9,7,1,+2,75%,124,36%,2,1,+1
Alfajer,FNC,Map_3_3Icebox,Defend,Killjoy,1.03,212,10,8,1,+2,50%,136,32%,3,2,+1
Boaster,FNC,Map_3_3Icebox,Defend,Viper,1.13,222,10,8,4,+2,67%,163,26%,2,1,+1
Chronicle,FNC,Map_3_3Icebox,Defend,Sage,0.54,109,4,9,4,-5,58%,62,30%,1,0,+1
Avez,KC,Map_3_3Icebox,Defend,Sova,1.65,325,14,9,2,+5,83%,207,32%,0,1,-1
SUYGETSU,KC,Map_3_3Icebox,Defend,Viper,1.26,255,12,8,1,+4,58%,166,43%,2,3,-1
saadhak,KC,Map_3_3Icebox,Defend,Kayo,0.79,110,3,8,12,-5,83%,74,18%,1,0,+1
marteen,KC,Map_3_3Icebox,Defend,Omen,0.98,214,7,8,4,-1,75%,137,35%,2,0,+2
Elite,KC,Map_3_3Icebox,Defend,Killjoy,0.74,159,7,9,0,-2,42%,105,64%,1,2,-1
