Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
qRaxs,FUT,Map_2_2Haven,All,Breach,1.82,281,21,10,5,+11,79%,169,47%,3,0,+3
MrFaliN,FUT,Map_2_2Haven,All,Sova,1.66,240,16,8,6,+8,68%,176,28%,0,1,-1
cNed,FUT,Map_2_2Haven,All,Omen,1.21,262,19,12,5,+7,68%,169,37%,3,2,+1
yetujey,FUT,Map_2_2Haven,All,Cypher,0.65,164,10,14,4,-4,68%,118,23%,1,4,-3
xeus,FUT,Map_2_2Haven,All,Neon,0.53,148,10,15,4,-5,63%,105,57%,1,4,-3
grubinho,GX,Map_2_2Haven,All,Omen,1.25,250,16,15,8,+1,68%,155,31%,4,2,+2
westside,GX,Map_2_2Haven,All,Cypher,0.80,177,12,15,2,-3,68%,114,61%,4,1,+3
Flickless,GX,Map_2_2Haven,All,Breach,0.77,160,11,16,6,-5,63%,97,19%,1,1,0
Cloud,GX,Map_2_2Haven,All,Sova,0.75,177,12,14,3,-2,63%,124,34%,1,2,-1
ara,GX,Map_2_2Haven,All,Neon,0.43,115,8,16,0,-8,53%,74,39%,1,2,-1
qRaxs,FUT,Map_2_2Haven,Attack,Breach,1.94,311,9,3,2,+6,86%,184,39%,1,0,+1
MrFaliN,FUT,Map_2_2Haven,Attack,Sova,2.82,405,11,1,1,+10,100%,286,33%,0,0,0
cNed,FUT,Map_2_2Haven,Attack,Omen,1.36,308,8,4,3,+4,71%,181,23%,2,0,+2
yetujey,FUT,Map_2_2Haven,Attack,Cypher,0.59,110,3,4,0,-1,71%,83,15%,0,2,-2
xeus,FUT,Map_2_2Haven,Attack,Neon,0.46,122,3,5,2,-2,57%,91,44%,0,2,-2
grubinho,GX,Map_2_2Haven,Attack,Omen,1.10,214,8,9,8,-1,67%,138,33%,2,2,0
westside,GX,Map_2_2Haven,Attack,Cypher,0.95,185,9,8,0,+1,75%,115,57%,3,1,+2
Flickless,GX,Map_2_2Haven,Attack,Breach,0.95,179,8,9,3,-1,67%,102,24%,1,1,0
Cloud,GX,Map_2_2Haven,Attack,Sova,1.29,262,12,7,2,+5,92%,177,38%,1,0,+1
ara,GX,Map_2_2Haven,Attack,Neon,0.54,116,5,9,0,-4,67%,81,33%,0,1,-1
qRaxs,FUT,Map_2_2Haven,Defend,Breach,1.76,264,12,7,3,+5,75%,160,56%,2,0,+2
MrFaliN,FUT,Map_2_2Haven,Defend,Sova,0.98,145,5,7,5,-2,50%,112,19%,0,1,-1
cNed,FUT,Map_2_2Haven,Defend,Omen,1.12,236,11,8,2,+3,67%,163,45%,1,2,-1
yetujey,FUT,Map_2_2Haven,Defend,Cypher,0.68,196,7,10,4,-3,67%,138,26%,1,2,-1
xeus,FUT,Map_2_2Haven,Defend,Neon,0.57,164,7,10,2,-3,67%,113,67%,1,2,-1
grubinho,GX,Map_2_2Haven,Defend,Omen,1.52,313,8,6,0,+2,71%,184,27%,2,0,+2
westside,GX,Map_2_2Haven,Defend,Cypher,0.53,163,3,7,2,-4,57%,111,67%,1,0,+1
Flickless,GX,Map_2_2Haven,Defend,Breach,0.46,130,3,7,3,-4,57%,88,13%,0,0,0
Cloud,GX,Map_2_2Haven,Defend,Sova,0.02,33,0,7,1,-7,14%,33,0%,0,2,-2
ara,GX,Map_2_2Haven,Defend,Neon,0.25,114,3,7,0,-4,29%,62,60%,1,1,0
