Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
ComeBack,M8,Map_2_2Lotus,All,Neon,1.49,311,29,17,4,+12,65%,187,35%,8,5,+3
Proxh,M8,Map_2_2Lotus,All,Omen,0.88,164,14,19,8,-5,69%,119,32%,3,1,+2
Veqaj,M8,Map_2_2Lotus,All,Sova,0.86,184,15,20,7,-5,65%,131,26%,0,2,-2
kamyk,M8,Map_2_2Lotus,All,Breach,0.81,122,12,16,7,-4,62%,85,31%,1,1,0
Minny,M8,Map_2_2Lotus,All,Viper,0.75,183,18,21,6,-3,65%,125,43%,3,2,+1
PROFEK,BBL,Map_2_2Lotus,All,Omen,1.18,220,21,17,4,+4,85%,135,44%,2,1,+1
Jamppi,BBL,Map_2_2Lotus,All,Fade,1.02,158,16,16,8,0,77%,100,18%,0,4,-4
MAGNUM,BBL,Map_2_2Lotus,All,Deadlock,0.97,182,15,17,11,-2,73%,115,25%,1,2,-1
sociablEE,BBL,Map_2_2Lotus,All,Chamber,0.94,218,20,20,4,0,65%,137,33%,2,4,-2
LewN,BBL,Map_2_2Lotus,All,Raze,0.91,229,21,18,1,+3,50%,133,29%,6,4,+2
ComeBack,M8,Map_2_2Lotus,Attack,Neon,2.09,431,20,5,1,+15,77%,260,37%,6,3,+3
Proxh,M8,Map_2_2Lotus,Attack,Omen,1.20,168,8,6,4,+2,85%,124,33%,0,0,0
Veqaj,M8,Map_2_2Lotus,Attack,Sova,1.08,182,8,8,3,0,69%,133,29%,0,0,0
kamyk,M8,Map_2_2Lotus,Attack,Breach,0.85,91,5,5,3,0,69%,78,38%,0,1,-1
Minny,M8,Map_2_2Lotus,Attack,Viper,1.10,208,11,8,4,+3,77%,142,56%,3,0,+3
PROFEK,BBL,Map_2_2Lotus,Attack,Omen,1.53,239,13,6,2,+7,92%,141,40%,1,0,+1
Jamppi,BBL,Map_2_2Lotus,Attack,Fade,1.42,202,11,6,3,+5,92%,121,11%,0,1,-1
MAGNUM,BBL,Map_2_2Lotus,Attack,Deadlock,1.44,280,12,7,6,+5,100%,178,29%,1,2,-1
sociablEE,BBL,Map_2_2Lotus,Attack,Chamber,0.97,227,11,9,2,+2,69%,147,50%,0,1,-1
LewN,BBL,Map_2_2Lotus,Attack,Raze,1.17,292,14,8,0,+6,69%,165,43%,5,2,+3
ComeBack,M8,Map_2_2Lotus,Defend,Neon,0.88,192,9,12,3,-3,54%,114,32%,2,2,0
Proxh,M8,Map_2_2Lotus,Defend,Omen,0.56,161,6,13,4,-7,54%,113,30%,3,1,+2
Veqaj,M8,Map_2_2Lotus,Defend,Sova,0.65,186,7,12,4,-5,62%,129,24%,0,2,-2
kamyk,M8,Map_2_2Lotus,Defend,Breach,0.77,155,7,11,4,-4,54%,93,27%,1,0,+1
Minny,M8,Map_2_2Lotus,Defend,Viper,0.41,159,7,13,2,-6,54%,108,33%,0,2,-2
PROFEK,BBL,Map_2_2Lotus,Defend,Omen,0.84,202,8,11,2,-3,77%,129,50%,1,1,0
Jamppi,BBL,Map_2_2Lotus,Defend,Fade,0.62,114,5,10,5,-5,62%,79,31%,0,3,-3
MAGNUM,BBL,Map_2_2Lotus,Defend,Deadlock,0.50,85,3,10,5,-7,46%,52,13%,0,0,0
sociablEE,BBL,Map_2_2Lotus,Defend,Chamber,0.91,211,9,11,2,-2,62%,127,15%,2,3,-1
LewN,BBL,Map_2_2Lotus,Defend,Raze,0.64,166,7,10,1,-3,31%,102,15%,1,2,-1
