,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
kamyk M8,,2 Round 7 Boo Wo0t Round 12 RieNs Boo,1 Round 9 Wo0t benjyfishy Boo,,,,,,,,49,3,0
Veqaj M8,,6 Round 2 MiniBoo benjyfishy Round 10 Wo0t RieNs Round 12 Wo0t benjyfishy Round 17 MiniBoo Boo Round 23 Wo0t RieNs Round 26 Wo0t Boo,2 Round 1 benjyfishy Boo RieNs Round 6 benjyfishy Boo Wo0t,,,1 Round 8 Boo,,,,,62,3,2
Minny M8,,2 Round 11 benjyfishy Wo0t Round 25 Wo0t benjyfishy,2 Round 13 benjyfishy RieNs MiniBoo Round 24 Wo0t RieNs MiniBoo,,,1 Round 6 RieNs,,,,,46,2,1
ComeBack M8,,5 Round 5 benjyfishy Wo0t Round 8 MiniBoo RieNs Round 11 Boo MiniBoo Round 17 benjyfishy Wo0t Round 20 Boo MiniBoo,,,,,,,,,50,0,0
Proxh M8,,1 Round 26 RieNs MiniBoo,,,,1 Round 7 RieNs,,,,,35,0,1
Boo TH,,2 Round 8 Minny Proxh Round 18 kamyk Minny,,,,,,,,,26,1,1
RieNs TH,,3 Round 10 Proxh ComeBack Round 14 kamyk Veqaj Round 18 ComeBack Veqaj,2 Round 6 Veqaj Proxh ComeBack Round 15 Veqaj Proxh Minny,,,,1 Round 5 Veqaj Proxh,,,,63,3,1
MiniBoo TH,,2 Round 15 ComeBack kamyk Round 19 ComeBack Veqaj,1 Round 5 Minny ComeBack kamyk,,,,,,,,35,1,1
Wo0t TH,,3 Round 7 Veqaj Minny Round 13 Minny kamyk Round 16 Proxh ComeBack,4 Round 3 Minny Veqaj ComeBack Round 20 ComeBack Minny Proxh Round 21 Proxh Minny Veqaj Round 23 Minny ComeBack kamyk,,,,,,,,74,0,2
benjyfishy TH,,1 Round 19 Proxh kamyk,2 Round 2 Proxh kamyk Minny Round 14 Minny ComeBack Proxh,,,,,,,,30,1,0
