Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Veqaj,M8,Map_2_2Ascent,All,Sova,1.45,274,27,15,6,+12,73%,175,31%,5,1,+4
Minny,M8,Map_2_2Ascent,All,Killjoy,1.12,195,20,16,2,+4,69%,135,33%,2,3,-1
ComeBack,M8,Map_2_2Ascent,All,Jett,1.10,204,17,18,5,-1,73%,139,40%,2,2,0
kamyk,M8,Map_2_2Ascent,All,Kayo,1.07,212,18,19,22,-1,92%,130,29%,3,5,-2
Proxh,M8,Map_2_2Ascent,All,Omen,0.75,133,12,16,10,-4,73%,94,14%,0,3,-3
Wo0t,TH,Map_2_2Ascent,All,Jett,1.32,276,23,17,6,+6,73%,186,33%,6,3,+3
RieNs,TH,Map_2_2Ascent,All,Sova,1.19,240,23,18,3,+5,77%,161,48%,4,0,+4
MiniBoo,TH,Map_2_2Ascent,All,Yoru,0.77,179,16,21,5,-5,69%,114,25%,2,3,-1
Boo,TH,Map_2_2Ascent,All,Omen,0.64,99,8,18,11,-10,58%,64,27%,1,1,0
benjyfishy,TH,Map_2_2Ascent,All,Cypher,0.57,148,14,20,3,-6,58%,89,29%,1,5,-4
Veqaj,M8,Map_2_2Ascent,Attack,Sova,0.91,217,9,11,3,-2,62%,140,56%,2,1,+1
Minny,M8,Map_2_2Ascent,Attack,Killjoy,1.06,199,10,10,1,0,46%,141,50%,0,2,-2
ComeBack,M8,Map_2_2Ascent,Attack,Jett,0.95,185,8,10,1,-2,54%,120,64%,1,2,-1
kamyk,M8,Map_2_2Ascent,Attack,Kayo,0.69,141,4,12,13,-8,85%,83,26%,0,3,-3
Proxh,M8,Map_2_2Ascent,Attack,Omen,0.56,109,4,10,6,-6,46%,72,29%,0,2,-2
Wo0t,TH,Map_2_2Ascent,Attack,Jett,0.89,235,8,12,5,-4,62%,166,33%,3,3,0
RieNs,TH,Map_2_2Ascent,Attack,Sova,0.74,174,9,12,0,-3,69%,121,32%,1,0,+1
MiniBoo,TH,Map_2_2Ascent,Attack,Yoru,0.44,141,5,12,1,-7,62%,89,19%,0,2,-2
Boo,TH,Map_2_2Ascent,Attack,Omen,0.44,88,3,11,4,-8,46%,57,25%,0,0,0
benjyfishy,TH,Map_2_2Ascent,Attack,Cypher,0.44,119,6,12,0,-6,38%,65,33%,0,4,-4
Veqaj,M8,Map_2_2Ascent,Defend,Sova,1.99,333,18,4,3,+14,85%,210,21%,3,0,+3
Minny,M8,Map_2_2Ascent,Defend,Killjoy,1.18,191,10,6,1,+4,92%,129,24%,2,1,+1
ComeBack,M8,Map_2_2Ascent,Defend,Jett,1.24,224,9,8,4,+1,92%,157,29%,1,0,+1
kamyk,M8,Map_2_2Ascent,Defend,Kayo,1.45,284,14,7,9,+7,100%,177,31%,3,2,+1
Proxh,M8,Map_2_2Ascent,Defend,Omen,0.95,159,8,6,4,+2,100%,116,10%,0,1,-1
Wo0t,TH,Map_2_2Ascent,Defend,Jett,1.75,317,15,5,1,+10,85%,206,33%,3,0,+3
RieNs,TH,Map_2_2Ascent,Defend,Sova,1.64,307,14,6,3,+8,85%,200,60%,3,0,+3
MiniBoo,TH,Map_2_2Ascent,Defend,Yoru,1.10,217,11,9,4,+2,77%,139,33%,2,1,+1
Boo,TH,Map_2_2Ascent,Defend,Omen,0.83,111,5,7,7,-2,69%,72,29%,1,1,0
benjyfishy,TH,Map_2_2Ascent,Defend,Cypher,0.70,177,8,8,3,0,77%,112,27%,1,1,0
