Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Minny,M8,Map_2_2Lotus,All,Viper,1.42,261,20,12,6,+8,86%,185,37%,3,2,+1
Veqaj,M8,Map_2_2Lotus,All,Sova,1.08,199,15,12,3,+3,73%,120,23%,3,2,+1
ComeBack,M8,Map_2_2Lotus,All,Neon,1.07,280,21,17,6,+4,77%,167,27%,4,4,0
kamyk,M8,Map_2_2Lotus,All,Breach,0.95,153,15,13,10,+2,77%,92,27%,0,0,0
Proxh,M8,Map_2_2Lotus,All,Omen,0.88,166,12,14,16,-2,95%,111,33%,2,2,0
UNFAKE,VIT,Map_2_2Lotus,All,Fade,1.31,254,21,16,3,+5,77%,143,35%,2,1,+1
Less,VIT,Map_2_2Lotus,All,Viper,1.21,178,14,13,7,+1,59%,107,36%,0,1,-1
Derke,VIT,Map_2_2Lotus,All,Raze,0.91,180,13,17,5,-4,59%,123,25%,2,4,-2
Kicks,VIT,Map_2_2Lotus,All,Omen,0.64,160,11,20,9,-9,73%,99,16%,5,2,+3
KovaQ,VIT,Map_2_2Lotus,All,Vyse,0.54,120,9,17,4,-8,59%,79,44%,1,4,-3
Minny,M8,Map_2_2Lotus,Attack,Viper,0.88,192,7,9,5,-2,83%,128,38%,1,1,0
Veqaj,M8,Map_2_2Lotus,Attack,Sova,0.88,187,8,9,1,-1,58%,113,13%,3,2,+1
ComeBack,M8,Map_2_2Lotus,Attack,Neon,1.06,303,12,11,3,+1,75%,185,37%,1,3,-2
kamyk,M8,Map_2_2Lotus,Attack,Breach,0.57,117,7,10,4,-3,67%,74,45%,0,0,0
Proxh,M8,Map_2_2Lotus,Attack,Omen,0.79,174,6,9,9,-3,100%,113,47%,0,1,-1
UNFAKE,VIT,Map_2_2Lotus,Attack,Fade,1.27,248,9,9,1,0,70%,129,27%,0,0,0
Less,VIT,Map_2_2Lotus,Attack,Viper,1.17,164,5,6,4,-1,50%,101,28%,0,1,-1
Derke,VIT,Map_2_2Lotus,Attack,Raze,0.51,116,4,9,1,-5,50%,85,25%,1,2,-1
Kicks,VIT,Map_2_2Lotus,Attack,Omen,0.13,63,1,10,4,-9,70%,47,38%,1,2,-1
KovaQ,VIT,Map_2_2Lotus,Attack,Vyse,0.06,53,1,9,2,-8,30%,39,20%,1,2,-1
Minny,M8,Map_2_2Lotus,Defend,Viper,2.06,345,13,3,1,+10,90%,253,36%,2,1,+1
Veqaj,M8,Map_2_2Lotus,Defend,Sova,1.33,215,7,3,2,+4,90%,128,28%,0,0,0
ComeBack,M8,Map_2_2Lotus,Defend,Neon,1.08,253,9,6,3,+3,80%,144,7%,3,1,+2
kamyk,M8,Map_2_2Lotus,Defend,Breach,1.41,197,8,3,6,+5,90%,113,18%,0,0,0
Proxh,M8,Map_2_2Lotus,Defend,Omen,0.99,159,6,5,7,+1,90%,108,21%,2,1,+1
UNFAKE,VIT,Map_2_2Lotus,Defend,Fade,1.34,259,12,7,2,+5,83%,155,43%,2,1,+1
Less,VIT,Map_2_2Lotus,Defend,Viper,1.23,190,9,7,3,+2,67%,112,47%,0,0,0
Derke,VIT,Map_2_2Lotus,Defend,Raze,1.25,234,9,8,4,+1,67%,155,25%,1,2,-1
Kicks,VIT,Map_2_2Lotus,Defend,Omen,1.06,241,10,10,5,0,75%,142,12%,4,0,+4
KovaQ,VIT,Map_2_2Lotus,Defend,Vyse,0.93,177,8,8,2,0,83%,112,55%,0,2,-2
