Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
kamyk,M8,Map_3_3Ascent,All,Kayo,1.26,223,20,16,13,+4,74%,126,49%,0,3,-3
ComeBack,M8,Map_3_3Ascent,All,Jett,1.18,251,22,16,3,+6,74%,167,24%,3,4,-1
Minny,M8,Map_3_3Ascent,All,Killjoy,1.09,264,19,20,9,-1,87%,172,28%,3,2,+1
Proxh,M8,Map_3_3Ascent,All,Omen,0.75,159,13,18,7,-5,70%,94,32%,1,1,0
Veqaj,M8,Map_3_3Ascent,All,Sova,0.46,135,10,19,6,-9,65%,104,17%,0,6,-6
Kicks,VIT,Map_3_3Ascent,All,Omen,1.56,300,23,16,13,+7,83%,201,35%,3,0,+3
Derke,VIT,Map_3_3Ascent,All,Jett,1.23,232,20,15,1,+5,65%,163,24%,8,2,+6
KovaQ,VIT,Map_3_3Ascent,All,Kayo,1.01,222,18,19,13,-1,70%,148,23%,2,3,-1
Less,VIT,Map_3_3Ascent,All,Cypher,0.91,175,16,16,3,0,65%,109,38%,2,2,0
UNFAKE,VIT,Map_3_3Ascent,All,Sova,0.77,155,12,18,9,-6,83%,106,22%,1,0,+1
kamyk,M8,Map_3_3Ascent,Attack,Kayo,1.04,197,8,9,4,-1,64%,100,50%,0,1,-1
ComeBack,M8,Map_3_3Ascent,Attack,Jett,0.63,183,7,11,1,-4,64%,120,24%,1,3,-2
Minny,M8,Map_3_3Ascent,Attack,Killjoy,0.84,206,7,11,4,-4,73%,144,39%,0,2,-2
Proxh,M8,Map_3_3Ascent,Attack,Omen,0.79,167,6,10,5,-4,55%,105,36%,0,1,-1
Veqaj,M8,Map_3_3Ascent,Attack,Sova,0.26,105,3,10,4,-7,64%,76,12%,0,3,-3
Kicks,VIT,Map_3_3Ascent,Attack,Omen,0.99,213,8,11,3,-3,67%,144,37%,0,0,0
Derke,VIT,Map_3_3Ascent,Attack,Jett,0.85,198,8,10,0,-2,42%,148,35%,3,2,+1
KovaQ,VIT,Map_3_3Ascent,Attack,Kayo,0.71,153,6,11,6,-5,58%,87,35%,2,2,0
Less,VIT,Map_3_3Ascent,Attack,Cypher,1.12,217,10,9,0,+1,58%,133,50%,1,2,-1
UNFAKE,VIT,Map_3_3Ascent,Attack,Sova,0.58,162,6,12,6,-6,67%,102,25%,0,0,0
kamyk,M8,Map_3_3Ascent,Defend,Kayo,1.47,248,12,7,9,+5,83%,150,48%,0,2,-2
ComeBack,M8,Map_3_3Ascent,Defend,Jett,1.67,315,15,5,2,+10,83%,211,24%,2,1,+1
Minny,M8,Map_3_3Ascent,Defend,Killjoy,1.32,318,12,9,5,+3,100%,197,24%,3,0,+3
Proxh,M8,Map_3_3Ascent,Defend,Omen,0.72,152,7,8,2,-1,83%,85,26%,1,0,+1
Veqaj,M8,Map_3_3Ascent,Defend,Sova,0.66,164,7,9,2,-2,67%,130,22%,0,3,-3
Kicks,VIT,Map_3_3Ascent,Defend,Omen,2.18,396,15,5,10,+10,100%,264,34%,3,0,+3
Derke,VIT,Map_3_3Ascent,Defend,Jett,1.64,271,12,5,1,+7,91%,180,12%,5,0,+5
KovaQ,VIT,Map_3_3Ascent,Defend,Kayo,1.33,300,12,8,7,+4,82%,215,19%,0,1,-1
Less,VIT,Map_3_3Ascent,Defend,Cypher,0.68,130,6,7,3,-1,73%,82,25%,1,0,+1
UNFAKE,VIT,Map_3_3Ascent,Defend,Sova,0.97,148,6,6,3,0,100%,109,19%,1,0,+1
