Map,Round Number,Score,Winning Team,Winning Side,Win Method
1Corrode,1,"""0-1""",M8,Defenders,Elimination
1Corrode,2,"""0-2""",M8,Defenders,Elimination
1Corrode,3,"""0-3""",M8,Defenders,Defuse
1Corrode,4,"""0-4""",M8,Defenders,Elimination
1Corrode,5,"""1-4""",VIT,Attackers,Spike Detonation
1Corrode,6,"""1-5""",M8,Defenders,Time Expired
1Corrode,7,"""1-6""",M8,Defenders,Defuse
1Corrode,8,"""1-7""",M8,Defenders,Elimination
1Corrode,9,"""2-7""",VIT,Attackers,Elimination
1Corrode,10,"""2-8""",M8,Defenders,Elimination
1Corrode,11,"""2-9""",M8,Defenders,Elimination
1Corrode,12,"""3-9""",VIT,Attackers,Elimination
1Corrode,13,"""3-10""",VIT,Attackers,Elimination
1Corrode,14,"""3-11""",VIT,Attackers,Elimination
1Corrode,15,"""4-11""",M8,Defenders,Elimination
1Corrode,16,"""4-12""",VIT,Attackers,Spike Detonation
1Corrode,17,"""4-13""",VIT,Attackers,Elimination
1Corrode,18,"""""",,,
1Corrode,19,"""""",,,
1Corrode,20,"""""",,,
1Corrode,21,"""""",,,
1Corrode,22,"""""",,,
1Corrode,23,"""""",,,
1Corrode,24,"""""",,,
