,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
ANGE1 NAVI,,2 Round 9 marteen saadhak Round 21 SUYGETSU marteen,1 Round 3 marteen saadhak Avez,,,,,,,,46,4,1
Shao NAVI,,2 Round 4 Elite saadhak Round 7 Avez SUYGETSU,1 Round 5 Avez marteen Elite,,,1 Round 4 saadhak,1 Round 5 marteen Elite,,,,55,2,2
Ruxic NAVI,,2 Round 5 SUYGETSU saadhak Round 12 saadhak Elite,1 Round 9 Avez Elite SUYGETSU,1 Round 1 Avez marteen saadhak Elite,,,,,,,68,0,0
alexiiik NAVI,,3 Round 11 Elite saadhak Round 13 SUYGETSU saadhak Round 17 Avez Elite,,2 Round 8 saadhak Avez marteen Elite Round 19 Elite Avez marteen saadhak,,,,,,,46,0,0
hiro NAVI,,2 Round 18 marteen saadhak Round 21 Elite Avez,1 Round 11 marteen SUYGETSU Avez,2 Round 2 marteen Avez SUYGETSU Elite Round 6 Avez SUYGETSU marteen saadhak,,,,,,,55,2,0
saadhak KC,,1 Round 13 Ruxic Shao,1 Round 4 alexiiik Ruxic hiro,,,,,,,,40,3,1
SUYGETSU KC,,1 Round 19 alexiiik hiro,1 Round 10 ANGE1 Ruxic alexiiik,1 Round 15 alexiiik ANGE1 Ruxic hiro,,,,,,,54,1,0
Avez KC,,2 Round 3 hiro alexiiik Round 16 hiro Shao,,,1 Round 14 alexiiik hiro ANGE1 Shao Ruxic,,,,,,45,1,0
marteen KC,,2 Round 5 alexiiik Ruxic Round 16 ANGE1 Ruxic,,1 Round 7 ANGE1 hiro alexiiik Shao,,,,,,,53,0,2
Elite KC,,2 Round 1 ANGE1 hiro Round 9 ANGE1 hiro,1 Round 6 alexiiik hiro Shao,,,,1 Round 6 Shao hiro,,,,65,1,1
