Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
paTiTek,TL,Map_1_1Ascent,All,Kayo,1.24,225,21,16,12,+5,81%,132,25%,4,4,0
nAts,TL,Map_1_1Ascent,All,Cypher,1.03,188,19,16,2,+3,77%,125,20%,4,0,+4
keiko,TL,Map_1_1Ascent,All,Omen,1.00,159,15,15,9,0,73%,102,31%,0,0,0
trexx,TL,Map_1_1Ascent,All,Sova,0.98,186,16,15,7,+1,73%,119,8%,0,1,-1
kamo,TL,Map_1_1Ascent,All,Jett,0.92,212,18,19,7,-1,81%,140,25%,7,6,+1
OLIZERA,APK,Map_1_1Ascent,All,Cypher,1.22,246,23,17,4,+6,81%,162,27%,1,2,-1
penny,APK,Map_1_1Ascent,All,Jett,0.94,199,20,17,2,+3,69%,115,32%,4,5,-1
AvovA,APK,Map_1_1Ascent,All,Omen,0.90,172,16,18,2,-2,69%,113,43%,2,0,+2
MOLSI,APK,Map_1_1Ascent,All,Sova,0.78,145,11,16,7,-5,73%,105,44%,1,0,+1
batujnax,APK,Map_1_1Ascent,All,Yoru,0.57,133,11,21,5,-10,69%,89,28%,3,8,-5
paTiTek,TL,Map_1_1Ascent,Attack,Kayo,1.36,208,10,6,8,+4,100%,120,29%,1,0,+1
nAts,TL,Map_1_1Ascent,Attack,Cypher,1.08,217,10,8,2,+2,77%,143,17%,3,0,+3
keiko,TL,Map_1_1Ascent,Attack,Omen,1.21,176,8,5,5,+3,69%,115,47%,0,0,0
trexx,TL,Map_1_1Ascent,Attack,Sova,0.82,151,6,6,3,0,77%,101,6%,0,1,-1
kamo,TL,Map_1_1Ascent,Attack,Jett,1.21,282,13,9,2,+4,77%,176,30%,4,4,0
OLIZERA,APK,Map_1_1Ascent,Attack,Cypher,1.74,353,17,8,2,+9,92%,220,25%,0,0,0
penny,APK,Map_1_1Ascent,Attack,Jett,1.23,269,14,8,1,+6,69%,149,37%,3,4,-1
AvovA,APK,Map_1_1Ascent,Attack,Omen,0.69,76,4,7,1,-3,69%,53,33%,0,0,0
MOLSI,APK,Map_1_1Ascent,Attack,Sova,1.10,198,8,7,4,+1,85%,133,45%,1,0,+1
batujnax,APK,Map_1_1Ascent,Attack,Yoru,0.18,102,4,12,3,-8,69%,67,25%,2,3,-1
paTiTek,TL,Map_1_1Ascent,Defend,Kayo,1.13,243,11,10,4,+1,62%,145,23%,3,4,-1
nAts,TL,Map_1_1Ascent,Defend,Cypher,0.99,160,9,8,0,+1,77%,106,23%,1,0,+1
keiko,TL,Map_1_1Ascent,Defend,Omen,0.78,143,7,10,4,-3,77%,89,17%,0,0,0
trexx,TL,Map_1_1Ascent,Defend,Sova,1.15,221,10,9,4,+1,69%,137,10%,0,0,0
kamo,TL,Map_1_1Ascent,Defend,Jett,0.63,143,5,10,5,-5,85%,105,17%,3,2,+1
OLIZERA,APK,Map_1_1Ascent,Defend,Cypher,0.69,139,6,9,2,-3,69%,104,33%,1,2,-1
penny,APK,Map_1_1Ascent,Defend,Jett,0.66,130,6,9,1,-3,69%,82,24%,1,1,0
AvovA,APK,Map_1_1Ascent,Defend,Omen,1.12,269,12,11,1,+1,69%,172,46%,2,0,+2
MOLSI,APK,Map_1_1Ascent,Defend,Sova,0.46,94,3,9,3,-6,62%,77,42%,0,0,0
batujnax,APK,Map_1_1Ascent,Defend,Yoru,0.95,164,7,9,2,-2,69%,110,32%,1,5,-4
