Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
keiko,TL,Map_1_1Bind,All,Brimstone,1.35,245,23,16,13,+7,77%,154,35%,2,0,+2
kamo,TL,Map_1_1Bind,All,Raze,1.22,249,24,17,2,+7,69%,161,33%,3,4,-1
trexx,TL,Map_1_1Bind,All,Gekko,1.03,192,16,17,11,-1,77%,131,24%,4,4,0
paTiTek,TL,Map_1_1Bind,All,Skye,1.02,178,16,13,8,+3,92%,111,16%,4,2,+2
nAts,TL,Map_1_1Bind,All,Viper,0.92,196,18,18,9,0,77%,121,21%,0,3,-3
Alfajer,FNC,Map_1_1Bind,All,Tejo,1.58,307,29,16,1,+13,77%,199,41%,3,1,+2
kaajak,FNC,Map_1_1Bind,All,Raze,0.76,194,15,20,5,-5,65%,136,26%,7,4,+3
Boaster,FNC,Map_1_1Bind,All,Astra,0.75,120,12,18,4,-6,62%,79,25%,1,5,-4
Chronicle,FNC,Map_1_1Bind,All,Viper,0.68,135,12,20,6,-8,65%,95,20%,1,3,-2
crashies,FNC,Map_1_1Bind,All,Fade,0.50,137,13,23,4,-10,69%,102,19%,1,0,+1
keiko,TL,Map_1_1Bind,Attack,Brimstone,0.99,196,9,9,6,0,77%,124,30%,1,0,+1
kamo,TL,Map_1_1Bind,Attack,Raze,1.28,268,13,9,1,+4,69%,167,27%,1,2,-1
trexx,TL,Map_1_1Bind,Attack,Gekko,1.06,184,8,7,3,+1,77%,143,22%,0,4,-4
paTiTek,TL,Map_1_1Bind,Attack,Skye,1.55,264,14,5,3,+9,100%,145,25%,3,0,+3
nAts,TL,Map_1_1Bind,Attack,Viper,0.69,187,8,10,3,-2,69%,124,27%,0,2,-2
Alfajer,FNC,Map_1_1Bind,Attack,Tejo,1.39,302,14,9,1,+5,62%,188,45%,2,1,+1
kaajak,FNC,Map_1_1Bind,Attack,Raze,0.81,196,9,10,2,-1,69%,129,23%,3,3,0
Boaster,FNC,Map_1_1Bind,Attack,Astra,0.76,94,5,7,1,-2,69%,57,23%,0,2,-2
Chronicle,FNC,Map_1_1Bind,Attack,Viper,0.97,152,8,8,1,0,69%,106,22%,0,2,-2
crashies,FNC,Map_1_1Bind,Attack,Fade,0.43,109,5,11,4,-6,69%,87,13%,0,0,0
keiko,TL,Map_1_1Bind,Defend,Brimstone,1.71,296,14,7,7,+7,77%,185,39%,1,0,+1
kamo,TL,Map_1_1Bind,Defend,Raze,1.16,230,11,8,1,+3,69%,155,45%,2,2,0
trexx,TL,Map_1_1Bind,Defend,Gekko,1.01,201,8,10,8,-2,77%,120,26%,4,0,+4
paTiTek,TL,Map_1_1Bind,Defend,Skye,0.49,93,2,8,5,-6,85%,78,4%,1,2,-1
nAts,TL,Map_1_1Bind,Defend,Viper,1.16,205,10,8,6,+2,85%,117,16%,0,1,-1
Alfajer,FNC,Map_1_1Bind,Defend,Tejo,1.77,313,15,7,0,+8,92%,211,38%,1,0,+1
kaajak,FNC,Map_1_1Bind,Defend,Raze,0.70,192,6,10,3,-4,62%,143,30%,4,1,+3
Boaster,FNC,Map_1_1Bind,Defend,Astra,0.75,147,7,11,3,-4,54%,101,26%,1,3,-2
Chronicle,FNC,Map_1_1Bind,Defend,Viper,0.38,119,4,12,5,-8,62%,85,18%,1,1,0
crashies,FNC,Map_1_1Bind,Defend,Fade,0.57,167,8,12,0,-4,69%,117,25%,1,0,+1
