,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
paTiTek TL,,3 Round 8 marteen Avez Round 20 Avez saadhak Round 25 pyrolll SUYGETSU,2 Round 11 Avez SUYGETSU marteen Round 23 saadhak marteen Avez,,,1 Round 1 marteen,,,,,56,2,0
nAts TL,,5 Round 7 pyrolll marteen Round 12 SUYGETSU pyrolll Round 16 pyrolll marteen Round 22 marteen Avez Round 28 Avez pyrolll,2 Round 10 Avez saadhak SUYGETSU Round 24 pyrolll Avez SUYGETSU,,,,,,,,53,1,0
trexx TL,,2 Round 11 saadhak pyrolll Round 15 pyrolll Avez,2 Round 4 saadhak marteen pyrolll Round 25 saadhak marteen Avez,,,,,,,,42,9,0
keiko TL,,2 Round 5 pyrolll SUYGETSU Round 7 Avez saadhak,1 Round 18 marteen Avez pyrolll,,,,,,,,29,0,0
kamo TL,,2 Round 12 marteen Avez Round 15 marteen SUYGETSU,1 Round 6 marteen pyrolll saadhak,1 Round 2 marteen Avez saadhak SUYGETSU,,,,,,,42,0,0
saadhak KC,,5 Round 6 paTiTek keiko Round 9 trexx keiko Round 17 keiko paTiTek Round 25 keiko nAts Round 28 paTiTek nAts,,,,,,,,,37,1,1
SUYGETSU KC,,6 Round 4 keiko nAts Round 5 kamo nAts Round 13 kamo paTiTek Round 22 nAts trexx Round 26 trexx kamo Round 27 keiko paTiTek,2 Round 14 keiko kamo paTiTek Round 16 kamo paTiTek keiko,,,1 Round 22 trexx,1 Round 13 paTiTek kamo,1 Round 16 keiko paTiTek kamo,,,65,2,0
Avez KC,,4 Round 6 kamo nAts Round 15 nAts paTiTek Round 16 trexx nAts Round 28 trexx keiko,1 Round 12 nAts keiko trexx,,,,,1 Round 6 keiko kamo nAts,,,39,5,2
pyrolll KC,,5 Round 18 nAts trexx Round 20 paTiTek keiko Round 22 kamo keiko Round 26 nAts paTiTek Round 27 kamo nAts,1 Round 21 nAts paTiTek keiko,1 Round 10 paTiTek kamo trexx keiko,,,,1 Round 10 keiko kamo trexx,,,51,2,1
marteen KC,,3 Round 9 paTiTek nAts Round 13 trexx keiko Round 20 kamo nAts,2 Round 3 trexx keiko paTiTek Round 24 keiko paTiTek nAts,,1 Round 1 kamo keiko nAts trexx paTiTek marteen,,,,,,47,1,0
