Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
keiko,TL,Map_3_3Lotus,All,Raze,1.60,326,26,14,0,+12,81%,206,41%,1,2,-1
trexx,TL,Map_3_3Lotus,All,Fade,1.28,242,17,14,12,+3,86%,156,19%,1,1,0
nAts,TL,Map_3_3Lotus,All,Vyse,1.22,220,18,15,8,+3,71%,148,33%,2,3,-1
kamo,TL,Map_3_3Lotus,All,Yoru,0.85,176,13,16,5,-3,76%,116,21%,3,3,0
paTiTek,TL,Map_3_3Lotus,All,Omen,0.48,95,6,15,7,-9,62%,72,13%,2,3,-1
Filu,MKOI,Map_3_3Lotus,All,Raze,1.10,254,18,17,5,+1,81%,171,24%,2,1,+1
MONSTEERR,MKOI,Map_3_3Lotus,All,Viper,1.06,206,14,15,9,-1,86%,141,23%,2,1,+1
nataNk,MKOI,Map_3_3Lotus,All,Vyse,0.89,165,13,15,2,-2,81%,119,29%,3,3,0
baddyG,MKOI,Map_3_3Lotus,All,Omen,0.81,176,14,16,8,-2,67%,97,14%,3,3,0
flyuh,MKOI,Map_3_3Lotus,All,Fade,0.72,189,15,17,6,-2,76%,124,19%,2,1,+1
keiko,TL,Map_3_3Lotus,Attack,Raze,1.32,319,13,10,0,+3,83%,191,46%,0,2,-2
trexx,TL,Map_3_3Lotus,Attack,Fade,1.52,245,11,7,6,+4,83%,155,15%,0,1,-1
nAts,TL,Map_3_3Lotus,Attack,Vyse,1.11,201,10,9,3,+1,75%,131,38%,0,1,-1
kamo,TL,Map_3_3Lotus,Attack,Yoru,0.65,180,8,11,1,-3,75%,111,22%,2,2,0
paTiTek,TL,Map_3_3Lotus,Attack,Omen,0.11,68,2,11,4,-9,50%,50,17%,1,3,-2
Filu,MKOI,Map_3_3Lotus,Attack,Raze,0.84,239,7,8,1,-1,67%,154,25%,1,1,0
MONSTEERR,MKOI,Map_3_3Lotus,Attack,Viper,1.58,292,8,6,4,+2,78%,195,19%,1,1,0
nataNk,MKOI,Map_3_3Lotus,Attack,Vyse,0.31,83,2,8,1,-6,67%,63,18%,0,2,-2
baddyG,MKOI,Map_3_3Lotus,Attack,Omen,0.58,112,4,7,3,-3,56%,48,13%,1,1,0
flyuh,MKOI,Map_3_3Lotus,Attack,Fade,0.54,150,5,7,2,-2,56%,84,15%,0,1,-1
keiko,TL,Map_3_3Lotus,Defend,Raze,1.96,336,13,4,0,+9,78%,226,36%,1,0,+1
trexx,TL,Map_3_3Lotus,Defend,Fade,0.97,240,6,7,6,-1,89%,158,24%,1,0,+1
nAts,TL,Map_3_3Lotus,Defend,Vyse,1.36,246,8,6,5,+2,67%,172,29%,2,2,0
kamo,TL,Map_3_3Lotus,Defend,Yoru,1.11,171,5,5,4,0,78%,123,21%,1,1,0
paTiTek,TL,Map_3_3Lotus,Defend,Omen,0.98,132,4,4,3,0,78%,101,10%,1,0,+1
Filu,MKOI,Map_3_3Lotus,Defend,Raze,1.30,266,11,9,4,+2,92%,185,23%,1,0,+1
MONSTEERR,MKOI,Map_3_3Lotus,Defend,Viper,0.66,143,6,9,5,-3,92%,101,27%,1,0,+1
nataNk,MKOI,Map_3_3Lotus,Defend,Vyse,1.32,228,11,7,1,+4,92%,162,33%,3,1,+2
baddyG,MKOI,Map_3_3Lotus,Defend,Omen,0.99,224,10,9,5,+1,75%,134,14%,2,2,0
flyuh,MKOI,Map_3_3Lotus,Defend,Fade,0.86,220,10,10,4,0,92%,155,21%,2,0,+2
