Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Less,VIT,Map_2_2Icebox,All,Viper,1.44,326,24,15,2,+9,70%,201,34%,2,2,0
Derke,VIT,Map_2_2Icebox,All,Jett,0.82,146,12,16,2,-4,50%,119,26%,0,3,-3
UNFAKE,VIT,Map_2_2Icebox,All,Sova,0.55,131,8,17,2,-9,50%,89,41%,0,3,-3
Kicks,VIT,Map_2_2Icebox,All,Harbor,0.35,138,8,20,5,-12,40%,85,25%,0,1,-1
KovaQ,VIT,Map_2_2Icebox,All,Killjoy,0.05,90,5,20,3,-15,45%,60,25%,3,6,-3
MAGNUM,BBL,Map_2_2Icebox,All,Killjoy,1.55,248,20,10,1,+10,85%,158,32%,3,0,+3
LewN,BBL,Map_2_2Icebox,All,Jett,1.51,313,24,13,2,+11,85%,214,40%,6,2,+4
PROFEK,BBL,Map_2_2Icebox,All,Viper,1.44,258,20,11,1,+9,80%,178,31%,3,0,+3
Jamppi,BBL,Map_2_2Icebox,All,Sova,1.07,164,10,9,8,+1,85%,125,44%,0,0,0
sociablEE,BBL,Map_2_2Icebox,All,Omen,0.98,192,14,14,5,0,75%,140,39%,3,3,0
Less,VIT,Map_2_2Icebox,Attack,Viper,1.32,301,14,9,2,+5,67%,185,38%,1,1,0
Derke,VIT,Map_2_2Icebox,Attack,Jett,1.44,240,12,8,2,+4,75%,193,28%,0,2,-2
UNFAKE,VIT,Map_2_2Icebox,Attack,Sova,0.73,162,6,9,2,-3,58%,112,38%,0,1,-1
Kicks,VIT,Map_2_2Icebox,Attack,Harbor,0.46,166,6,12,4,-6,42%,99,35%,0,0,0
KovaQ,VIT,Map_2_2Icebox,Attack,Killjoy,0.05,106,4,12,1,-8,50%,64,31%,3,4,-1
MAGNUM,BBL,Map_2_2Icebox,Attack,Killjoy,1.62,217,8,2,0,+6,88%,149,24%,0,0,0
LewN,BBL,Map_2_2Icebox,Attack,Jett,1.44,323,10,6,2,+4,88%,211,27%,4,1,+3
PROFEK,BBL,Map_2_2Icebox,Attack,Viper,2.02,312,10,2,0,+8,88%,218,38%,2,0,+2
Jamppi,BBL,Map_2_2Icebox,Attack,Sova,1.13,96,2,1,4,+1,100%,97,25%,0,0,0
sociablEE,BBL,Map_2_2Icebox,Attack,Omen,1.39,241,8,4,1,+4,88%,177,35%,1,0,+1
Less,VIT,Map_2_2Icebox,Defend,Viper,1.63,365,10,6,0,+4,75%,224,29%,1,1,0
Derke,VIT,Map_2_2Icebox,Defend,Jett,0.02,7,0,8,0,-8,13%,8,0%,0,1,-1
UNFAKE,VIT,Map_2_2Icebox,Defend,Sova,0.27,85,2,8,0,-6,38%,54,50%,0,2,-2
Kicks,VIT,Map_2_2Icebox,Defend,Harbor,0.19,97,2,8,1,-6,38%,64,8%,0,1,-1
KovaQ,VIT,Map_2_2Icebox,Defend,Killjoy,0.06,68,1,8,2,-7,38%,53,13%,0,2,-2
MAGNUM,BBL,Map_2_2Icebox,Defend,Killjoy,1.50,270,12,8,1,+4,83%,164,38%,3,0,+3
LewN,BBL,Map_2_2Icebox,Defend,Jett,1.57,308,14,7,0,+7,83%,216,52%,2,1,+1
PROFEK,BBL,Map_2_2Icebox,Defend,Viper,1.06,223,10,9,1,+1,75%,151,27%,1,0,+1
Jamppi,BBL,Map_2_2Icebox,Defend,Sova,1.03,210,8,8,4,0,75%,144,53%,0,0,0
sociablEE,BBL,Map_2_2Icebox,Defend,Omen,0.71,161,6,10,4,-4,67%,115,44%,2,3,-1
