Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Less,VIT,All_Maps,All,Cypher,1.26,235,40,30,11,+10,78%,157,28%,3,2,+1
Derke,VIT,All_Maps,All,"Yoru, Jett",0.97,221,35,37,6,-2,61%,150,28%,7,11,-4
UNFAKE,VIT,All_Maps,All,Sova,0.93,201,32,37,12,-5,70%,130,50%,5,3,+2
KovaQ,VIT,All_Maps,All,"Iso, Kayo",0.69,154,24,37,9,-13,59%,105,28%,3,6,-3
Kicks,VIT,All_Maps,All,Omen,0.65,151,23,37,17,-14,59%,99,24%,2,4,-2
RieNs,TH,All_Maps,All,Sova,1.25,256,39,32,20,+7,78%,176,30%,5,1,+4
Wo0t,TH,All_Maps,All,"Iso, Jett",1.12,237,40,31,11,+9,67%,159,48%,2,7,-5
benjyfishy,TH,All_Maps,All,Cypher,1.04,191,33,31,11,+2,72%,122,42%,4,1,+3
MiniBoo,TH,All_Maps,All,Yoru,1.03,230,38,33,12,+5,74%,160,31%,9,6,+3
Boo,TH,All_Maps,All,Omen,1.03,173,28,27,20,+1,74%,102,33%,6,5,+1
Less,VIT,All_Maps,Attack,Cypher,1.45,261,25,16,2,+9,79%,165,32%,1,0,+1
Derke,VIT,All_Maps,Attack,"Yoru, Jett",1.05,228,18,19,4,-1,63%,164,31%,2,9,-7
UNFAKE,VIT,All_Maps,Attack,Sova,0.83,173,15,19,4,-4,63%,106,35%,1,2,-1
KovaQ,VIT,All_Maps,Attack,"Iso, Kayo",0.49,125,10,20,4,-10,58%,89,18%,1,5,-4
Kicks,VIT,All_Maps,Attack,Omen,0.46,122,9,22,8,-13,50%,80,23%,2,1,+1
RieNs,TH,All_Maps,Attack,Sova,1.28,254,18,15,10,+3,77%,181,38%,2,1,+1
Wo0t,TH,All_Maps,Attack,"Iso, Jett",1.31,256,21,15,4,+6,59%,180,44%,1,3,-2
benjyfishy,TH,All_Maps,Attack,Cypher,1.04,180,16,15,4,+1,73%,121,50%,1,1,0
MiniBoo,TH,All_Maps,Attack,Yoru,0.60,176,13,19,6,-6,64%,119,28%,2,4,-2
Boo,TH,All_Maps,Attack,Omen,1.07,180,14,13,11,+1,68%,102,42%,3,4,-1
Less,VIT,All_Maps,Defend,Cypher,1.06,204,15,14,9,+1,77%,149,23%,2,2,0
Derke,VIT,All_Maps,Defend,"Yoru, Jett",0.88,214,17,18,2,-1,59%,135,24%,5,2,+3
UNFAKE,VIT,All_Maps,Defend,Sova,1.04,232,17,18,8,-1,77%,157,68%,4,1,+3
KovaQ,VIT,All_Maps,Defend,"Iso, Kayo",0.92,190,14,17,5,-3,59%,121,39%,2,1,+1
Kicks,VIT,All_Maps,Defend,Omen,0.86,184,14,15,9,-1,68%,120,24%,0,3,-3
RieNs,TH,All_Maps,Defend,Sova,1.23,263,21,17,10,+4,79%,172,24%,3,0,+3
Wo0t,TH,All_Maps,Defend,"Iso, Jett",0.94,213,19,16,7,+3,75%,140,53%,1,4,-3
benjyfishy,TH,All_Maps,Defend,Cypher,1.03,197,17,16,7,+1,71%,124,37%,3,0,+3
MiniBoo,TH,All_Maps,Defend,Yoru,1.44,284,25,14,6,+11,83%,198,33%,7,2,+5
Boo,TH,All_Maps,Defend,Omen,0.99,169,14,14,9,0,79%,101,26%,3,1,+2
