Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
westside,GX,Map_2_2Sunset,All,Cypher,1.16,211,18,16,4,+2,70%,149,46%,4,2,+2
grubinho,GX,Map_2_2Sunset,All,Omen,1.15,195,14,14,16,0,87%,134,30%,5,0,+5
Flickless,GX,Map_2_2Sunset,All,Breach,1.13,207,20,16,10,+4,87%,133,35%,1,1,0
Cloud,GX,Map_2_2Sunset,All,Sova,1.06,227,16,16,10,0,78%,154,25%,3,0,+3
ara,GX,Map_2_2Sunset,All,Neon,1.00,195,15,15,6,0,70%,130,25%,5,2,+3
kaajak,FNC,Map_2_2Sunset,All,Yoru,1.57,327,26,16,4,+10,65%,213,25%,2,1,+1
Chronicle,FNC,Map_2_2Sunset,All,Cypher,1.04,196,17,15,7,+2,61%,135,28%,2,6,-4
crashies,FNC,Map_2_2Sunset,All,Sova,0.91,133,10,14,11,-4,78%,99,27%,0,3,-3
Boaster,FNC,Map_2_2Sunset,All,Omen,0.75,161,13,18,6,-5,74%,115,56%,0,3,-3
Alfajer,FNC,Map_2_2Sunset,All,Neon,0.51,136,11,20,2,-9,48%,86,30%,1,5,-4
westside,GX,Map_2_2Sunset,Attack,Cypher,1.31,227,10,8,1,+2,83%,156,48%,3,0,+3
grubinho,GX,Map_2_2Sunset,Attack,Omen,1.03,195,6,8,11,-2,92%,131,33%,3,0,+3
Flickless,GX,Map_2_2Sunset,Attack,Breach,0.99,192,10,8,3,+2,92%,99,29%,0,0,0
Cloud,GX,Map_2_2Sunset,Attack,Sova,0.75,150,6,8,5,-2,83%,115,19%,0,0,0
ara,GX,Map_2_2Sunset,Attack,Neon,1.47,269,11,6,1,+5,75%,175,27%,4,2,+2
kaajak,FNC,Map_2_2Sunset,Attack,Yoru,1.55,308,13,8,1,+5,64%,213,26%,1,0,+1
Chronicle,FNC,Map_2_2Sunset,Attack,Cypher,1.03,206,8,7,2,+1,64%,146,25%,1,2,-1
crashies,FNC,Map_2_2Sunset,Attack,Sova,1.29,155,6,5,6,+1,82%,124,29%,0,1,-1
Boaster,FNC,Map_2_2Sunset,Attack,Omen,1.08,242,9,9,6,0,100%,163,55%,0,0,0
Alfajer,FNC,Map_2_2Sunset,Attack,Neon,0.06,85,3,11,0,-8,36%,57,29%,1,5,-4
westside,GX,Map_2_2Sunset,Defend,Cypher,1.00,194,8,8,3,0,55%,142,44%,1,2,-1
grubinho,GX,Map_2_2Sunset,Defend,Omen,1.28,197,8,6,5,+2,82%,138,27%,2,0,+2
Flickless,GX,Map_2_2Sunset,Defend,Breach,1.29,226,10,8,7,+2,82%,170,42%,1,1,0
Cloud,GX,Map_2_2Sunset,Defend,Sova,1.39,313,10,8,5,+2,73%,197,30%,3,0,+3
ara,GX,Map_2_2Sunset,Defend,Neon,0.49,115,4,9,5,-5,64%,82,20%,1,0,+1
kaajak,FNC,Map_2_2Sunset,Defend,Yoru,1.60,346,13,8,3,+5,67%,212,23%,1,1,0
Chronicle,FNC,Map_2_2Sunset,Defend,Cypher,1.04,188,9,8,5,+1,58%,124,31%,1,4,-3
crashies,FNC,Map_2_2Sunset,Defend,Sova,0.55,113,4,9,5,-5,75%,76,25%,0,2,-2
Boaster,FNC,Map_2_2Sunset,Defend,Omen,0.44,87,4,9,0,-5,50%,71,57%,0,3,-3
Alfajer,FNC,Map_2_2Sunset,Defend,Neon,0.91,183,8,9,2,-1,58%,113,30%,0,0,0
