Map,Round Number,Score,Winning Team,Winning Side,Win Method
2Corrode,1,"""1-0""",GX,Attackers,Elimination
2Corrode,2,"""2-0""",GX,Attackers,Spike Detonation
2Corrode,3,"""2-1""",TL,Defenders,Elimination
2Corrode,4,"""2-2""",TL,Defenders,Defuse
2Corrode,5,"""2-3""",TL,Defenders,Elimination
2Corrode,6,"""2-4""",TL,Defenders,Defuse
2Corrode,7,"""2-5""",TL,Defenders,Elimination
2Corrode,8,"""2-6""",TL,Defenders,Elimination
2Corrode,9,"""2-7""",TL,Defenders,Defuse
2Corrode,10,"""2-8""",TL,Defenders,Elimination
2Corrode,11,"""2-9""",TL,Defenders,Time Expired
2Corrode,12,"""3-9""",GX,Attackers,Elimination
2Corrode,13,"""4-9""",TL,Defenders,Elimination
2Corrode,14,"""5-9""",TL,Defenders,Elimination
2Corrode,15,"""5-10""",GX,Attackers,Elimination
2Corrode,16,"""6-10""",TL,Defenders,Elimination
2Corrode,17,"""7-10""",TL,Defenders,Elimination
2Corrode,18,"""7-11""",GX,Attackers,Elimination
2Corrode,19,"""8-11""",TL,Defenders,Time Expired
2Corrode,20,"""9-11""",TL,Defenders,Defuse
2Corrode,21,"""10-11""",TL,Defenders,Defuse
2Corrode,22,"""11-11""",TL,Defenders,Elimination
2Corrode,23,"""11-12""",GX,Attackers,Elimination
2Corrode,24,"""11-13""",GX,Attackers,Elimination
