Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Famouz,BME,All_Maps,All,"Neon, Raze",1.12,239,54,45,11,+9,69%,144,15%,13,13,0
BerserX,BME,All_Maps,All,"Killjoy, Vyse, Cypher",1.11,211,50,41,10,+9,71%,139,27%,7,3,+4
dos9,BME,All_Maps,All,"Astra, Brimstone",1.08,188,42,45,32,-3,80%,127,30%,3,2,+1
Shiro,BME,All_Maps,All,"Kayo, Tejo",0.97,183,39,45,29,-6,69%,115,16%,8,7,+1
NcSlasher,BME,All_Maps,All,"Fade, Breach",0.75,144,32,47,26,-15,69%,92,30%,3,5,-2
BuZz,T1,All_Maps,All,"Neon, Raze",1.03,214,49,43,11,+6,68%,134,18%,10,10,0
Sylvan,T1,All_Maps,All,"Astra, Brimstone",1.02,178,43,45,32,-2,75%,119,26%,2,4,-2
iZu,T1,All_Maps,All,"Yoru, Gekko, Raze",1.00,205,46,44,12,+2,69%,132,28%,7,7,0
stax,T1,All_Maps,All,"Sova, Kayo, Breach",0.97,155,36,41,24,-5,69%,108,25%,4,4,0
Meteor,T1,All_Maps,All,"Killjoy, Vyse",0.96,214,49,45,8,+4,63%,145,35%,8,10,-2
Famouz,BME,All_Maps,Attack,"Neon, Raze",0.98,195,19,22,4,-3,66%,124,15%,4,8,-4
BerserX,BME,All_Maps,Attack,"Killjoy, Vyse, Cypher",1.07,218,24,21,2,+3,62%,137,30%,2,3,-1
dos9,BME,All_Maps,Attack,"Astra, Brimstone",0.95,183,17,23,17,-6,76%,113,26%,1,0,+1
Shiro,BME,All_Maps,Attack,"Kayo, Tejo",0.76,146,11,23,16,-12,59%,93,13%,2,4,-2
NcSlasher,BME,All_Maps,Attack,"Fade, Breach",0.49,125,11,26,12,-15,62%,77,30%,2,2,0
BuZz,T1,All_Maps,Attack,"Neon, Raze",0.66,170,20,30,6,-10,64%,105,11%,3,7,-4
Sylvan,T1,All_Maps,Attack,"Astra, Brimstone",0.95,169,24,26,5,-2,67%,116,33%,0,3,-3
iZu,T1,All_Maps,Attack,"Yoru, Gekko, Raze",0.82,168,20,29,7,-9,64%,119,28%,4,4,0
stax,T1,All_Maps,Attack,"Sova, Kayo, Breach",0.71,125,16,26,10,-10,61%,85,27%,2,2,0
Meteor,T1,All_Maps,Attack,"Killjoy, Vyse",1.10,233,28,25,6,+3,56%,158,35%,4,8,-4
Famouz,BME,All_Maps,Defend,"Neon, Raze",1.23,265,35,23,7,+12,72%,159,15%,9,5,+4
BerserX,BME,All_Maps,Defend,"Killjoy, Vyse, Cypher",1.15,208,26,20,8,+6,78%,140,24%,5,0,+5
dos9,BME,All_Maps,Defend,"Astra, Brimstone",1.18,194,25,22,15,+3,83%,138,33%,2,2,0
Shiro,BME,All_Maps,Defend,"Kayo, Tejo",1.15,214,28,22,13,+6,78%,133,18%,6,3,+3
NcSlasher,BME,All_Maps,Defend,"Fade, Breach",0.96,164,21,21,14,0,75%,105,31%,1,3,-2
BuZz,T1,All_Maps,Defend,"Neon, Raze",1.50,270,29,13,5,+16,72%,169,29%,7,3,+4
Sylvan,T1,All_Maps,Defend,"Astra, Brimstone",1.11,185,19,19,27,0,86%,123,18%,2,1,+1
iZu,T1,All_Maps,Defend,"Yoru, Gekko, Raze",1.24,243,26,15,5,+11,76%,149,28%,3,3,0
stax,T1,All_Maps,Defend,"Sova, Kayo, Breach",1.30,195,20,15,14,+5,79%,137,23%,2,2,0
Meteor,T1,All_Maps,Defend,"Killjoy, Vyse",0.78,199,21,20,2,+1,72%,130,37%,4,2,+2
