,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
free1ng DRX,,3 Round 1 Meteor carpe Round 2 iZu carpe Round 13 carpe BuZz,,,,,1 Round 13 carpe BuZz,,,,66,0,1
MaKo DRX,,2 Round 2 BuZz stax Round 9 iZu carpe,1 Round 10 iZu BuZz stax,,,,,,,,58,0,0
BeYN DRX,,4 Round 3 BuZz stax Round 4 Meteor carpe Round 9 BuZz stax Round 22 carpe BuZz,,,,,,,,,47,7,0
HYUNMIN DRX,,2 Round 13 iZu stax Round 17 iZu stax,2 Round 11 BuZz stax iZu Round 14 iZu Meteor stax,,,,,,,,45,0,0
Flashback DRX,,1 Round 1 BuZz iZu,1 Round 21 iZu Meteor carpe,1 Round 7 BuZz stax iZu carpe,,,,,,,50,0,0
stax T1,,1 Round 20 HYUNMIN Flashback,1 Round 18 Flashback MaKo BeYN,,,,,,,,48,4,0
BuZz T1,,3 Round 16 HYUNMIN BeYN Round 19 free1ng MaKo Round 22 free1ng HYUNMIN,1 Round 5 HYUNMIN Flashback BeYN,,,,,,,,70,0,0
Meteor T1,,3 Round 8 MaKo HYUNMIN Round 19 HYUNMIN Flashback Round 20 BeYN free1ng,,,,,,,,,50,0,0
iZu T1,,3 Round 3 MaKo HYUNMIN Round 6 free1ng MaKo Round 15 free1ng Flashback,,,,,,,,,32,1,1
carpe T1,,2 Round 4 MaKo free1ng Round 13 BeYN HYUNMIN,,1 Round 12 BeYN MaKo HYUNMIN Flashback,,,,,,,43,0,1
