Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Karon,GEN,All_Maps,All,"Brimstone, Omen",1.13,184,44,40,24,+4,73%,127,27%,2,10,-8
t3xture,GEN,All_Maps,All,"Raze, Neon",0.97,215,53,49,8,+4,62%,137,22%,13,19,-6
Foxy9,GEN,All_Maps,All,Killjoy,0.96,210,49,49,6,0,61%,129,38%,5,4,+1
Munchkin,GEN,All_Maps,All,"Breach, Viper",0.90,181,43,47,14,-4,67%,123,23%,5,4,+1
yoman,GEN,All_Maps,All,"Sova, Fade",0.80,138,28,42,20,-14,65%,91,25%,1,3,-2
Kushy,RRQ,All_Maps,All,"Sova, Fade",1.28,241,56,40,19,+16,74%,154,37%,8,4,+4
Jemkin,RRQ,All_Maps,All,"Brimstone, Raze, Jett",1.20,260,58,48,17,+10,82%,167,27%,18,6,+12
Estrella,RRQ,All_Maps,All,"Breach, Viper",0.93,164,38,44,27,-6,73%,113,43%,6,4,+2
Monyet,RRQ,All_Maps,All,"Neon, Omen",0.90,164,39,42,19,-3,67%,103,30%,3,8,-5
xffero,RRQ,All_Maps,All,"Killjoy, Vyse",0.84,148,36,43,13,-7,68%,98,26%,5,4,+1
Karon,GEN,All_Maps,Attack,"Brimstone, Omen",1.05,193,23,26,14,-3,70%,137,25%,1,4,-3
t3xture,GEN,All_Maps,Attack,"Raze, Neon",0.85,176,24,29,5,-5,65%,109,25%,6,12,-6
Foxy9,GEN,All_Maps,Attack,Killjoy,0.78,182,22,30,3,-8,49%,115,40%,2,3,-1
Munchkin,GEN,All_Maps,Attack,"Breach, Viper",0.72,173,22,30,8,-8,65%,116,28%,3,4,-1
yoman,GEN,All_Maps,Attack,"Sova, Fade",0.60,116,13,27,9,-14,54%,79,17%,0,2,-2
Kushy,RRQ,All_Maps,Attack,"Sova, Fade",0.76,147,15,21,6,-6,62%,94,39%,2,1,+1
Jemkin,RRQ,All_Maps,Attack,"Brimstone, Raze, Jett",1.27,312,29,25,5,+4,90%,191,38%,11,3,+8
Estrella,RRQ,All_Maps,Attack,"Breach, Viper",0.76,150,15,24,9,-9,66%,111,44%,2,1,+1
Monyet,RRQ,All_Maps,Attack,"Neon, Omen",0.61,132,13,21,6,-8,55%,95,27%,0,6,-6
xffero,RRQ,All_Maps,Attack,"Killjoy, Vyse",0.69,131,13,22,5,-9,59%,97,33%,0,3,-3
Karon,GEN,All_Maps,Defend,"Brimstone, Omen",1.23,183,21,14,10,+7,76%,114,28%,1,6,-5
t3xture,GEN,All_Maps,Defend,"Raze, Neon",1.12,271,29,20,3,+9,59%,174,19%,7,7,0
Foxy9,GEN,All_Maps,Defend,Killjoy,1.18,243,27,19,3,+8,76%,147,36%,3,1,+2
Munchkin,GEN,All_Maps,Defend,"Breach, Viper",1.14,203,21,17,6,+4,69%,133,18%,2,0,+2
yoman,GEN,All_Maps,Defend,"Sova, Fade",1.06,159,15,15,11,0,79%,107,35%,1,1,0
Kushy,RRQ,All_Maps,Defend,"Sova, Fade",1.69,315,41,19,13,+22,84%,201,37%,6,3,+3
Jemkin,RRQ,All_Maps,Defend,"Brimstone, Raze, Jett",1.16,231,29,23,12,+6,76%,149,19%,7,3,+4
Estrella,RRQ,All_Maps,Defend,"Breach, Viper",1.07,173,23,20,18,+3,78%,114,42%,4,3,+1
Monyet,RRQ,All_Maps,Defend,"Neon, Omen",1.12,175,26,21,13,+5,76%,110,32%,3,2,+1
xffero,RRQ,All_Maps,Defend,"Killjoy, Vyse",0.95,157,23,21,8,+2,76%,99,23%,5,1,+4
