Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Munchkin,GEN,Map_3_3Haven,All,Viper,1.25,240,21,16,6,+5,69%,151,28%,2,1,+1
Karon,GEN,Map_3_3Haven,All,Omen,1.18,215,19,16,8,+3,73%,156,27%,1,5,-4
t3xture,GEN,Map_3_3Haven,All,Neon,1.10,226,22,18,5,+4,58%,140,28%,3,9,-6
Foxy9,GEN,Map_3_3Haven,All,Killjoy,0.80,177,16,19,2,-3,62%,113,44%,1,2,-1
yoman,GEN,Map_3_3Haven,All,Sova,0.65,94,8,16,8,-8,65%,66,27%,0,2,-2
Jemkin,RRQ,Map_3_3Haven,All,Jett,1.47,330,29,19,2,+10,85%,210,30%,12,1,+11
Kushy,RRQ,Map_3_3Haven,All,Sova,1.24,251,22,16,4,+6,77%,162,40%,5,0,+5
Estrella,RRQ,Map_3_3Haven,All,Breach,0.79,152,14,20,8,-6,73%,97,47%,2,0,+2
xffero,RRQ,Map_3_3Haven,All,Killjoy,0.79,130,12,16,6,-4,62%,96,29%,0,2,-2
Monyet,RRQ,Map_3_3Haven,All,Omen,0.65,85,8,15,11,-7,62%,57,43%,0,4,-4
Munchkin,GEN,Map_3_3Haven,Attack,Viper,1.15,246,11,9,4,+2,77%,157,38%,2,1,+1
Karon,GEN,Map_3_3Haven,Attack,Omen,1.22,228,9,9,5,0,77%,182,25%,1,2,-1
t3xture,GEN,Map_3_3Haven,Attack,Neon,1.38,242,13,8,4,+5,69%,152,39%,1,4,-3
Foxy9,GEN,Map_3_3Haven,Attack,Killjoy,0.52,100,4,10,2,-6,54%,76,21%,0,1,-1
yoman,GEN,Map_3_3Haven,Attack,Sova,0.73,133,6,9,4,-3,69%,87,20%,0,1,-1
Jemkin,RRQ,Map_3_3Haven,Attack,Jett,1.66,395,17,11,2,+6,100%,257,45%,8,0,+8
Kushy,RRQ,Map_3_3Haven,Attack,Sova,0.75,122,6,8,1,-2,62%,76,40%,2,0,+2
Estrella,RRQ,Map_3_3Haven,Attack,Breach,0.57,94,5,10,4,-5,77%,65,38%,0,0,0
xffero,RRQ,Map_3_3Haven,Attack,Killjoy,1.14,182,8,7,3,+1,69%,129,33%,0,1,-1
Monyet,RRQ,Map_3_3Haven,Attack,Omen,0.60,78,4,7,2,-3,54%,60,40%,0,2,-2
Munchkin,GEN,Map_3_3Haven,Defend,Viper,1.34,236,10,7,2,+3,62%,144,21%,0,0,0
Karon,GEN,Map_3_3Haven,Defend,Omen,1.15,204,10,7,3,+3,69%,131,31%,0,3,-3
t3xture,GEN,Map_3_3Haven,Defend,Neon,0.82,210,9,10,1,-1,46%,127,15%,2,5,-3
Foxy9,GEN,Map_3_3Haven,Defend,Killjoy,1.09,255,12,9,0,+3,69%,150,60%,1,1,0
yoman,GEN,Map_3_3Haven,Defend,Sova,0.58,56,2,7,4,-5,62%,45,40%,0,1,-1
Jemkin,RRQ,Map_3_3Haven,Defend,Jett,1.28,267,12,8,0,+4,69%,163,17%,4,1,+3
Kushy,RRQ,Map_3_3Haven,Defend,Sova,1.74,381,16,8,3,+8,92%,249,39%,3,0,+3
Estrella,RRQ,Map_3_3Haven,Defend,Breach,1.01,211,9,10,4,-1,69%,129,52%,2,0,+2
xffero,RRQ,Map_3_3Haven,Defend,Killjoy,0.44,80,4,9,3,-5,54%,63,26%,0,1,-1
Monyet,RRQ,Map_3_3Haven,Defend,Omen,0.70,92,4,8,9,-4,69%,55,45%,0,2,-2
