,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
UdoTan GE,,1 Round 10 Jinboong Akame,1 Round 14 Jinboong Meiy Akame,,,,,,,,48,0,0
Kr1stal GE,,3 Round 7 Meiy Akame Round 13 Meiy Jinboong Round 21 Art Jinboong,1 Round 18 gyen Akame Meiy,,,3 Round 13 Jinboong Round 17 Art Round 18 Jinboong,,,,,49,2,0
kellyS GE,,5 Round 4 Akame Meiy Round 6 Meiy Jinboong Round 7 gyen Jinboong Round 17 Jinboong gyen Round 20 Meiy Jinboong,,,,,,,,,52,4,1
Deryeon GE,,2 Round 12 Jinboong gyen Round 13 gyen Akame,1 Round 19 Akame gyen Art,,,,1 Round 19 Art gyen,,,,45,0,0
Papi GE,,1 Round 12 Meiy Akame,,,,,,,,,37,0,0
Jinboong DFM,,5 Round 7 Kr1stal Deryeon Round 8 Kr1stal kellyS Round 11 Papi UdoTan Round 18 Papi kellyS Round 20 Papi Kr1stal,,,1 Round 16 UdoTan kellyS Kr1stal Deryeon Papi,,,,,,70,1,0
Meiy DFM,,3 Round 4 Kr1stal UdoTan Round 5 UdoTan Deryeon Round 15 UdoTan Kr1stal,1 Round 21 kellyS Kr1stal Deryeon,,,,1 Round 21 Deryeon Kr1stal,,,,66,0,1
Art DFM,,2 Round 4 Papi Deryeon Round 17 Papi kellyS,,,,1 Round 10 Papi,,,,,45,3,0
Akame DFM,,2 Round 6 Papi kellyS Round 9 UdoTan Kr1stal,,,,,,,,,47,6,0
gyen DFM,,5 Round 5 kellyS Kr1stal Round 8 Papi UdoTan Round 9 Deryeon Papi Round 13 kellyS Papi Round 15 kellyS Deryeon,1 Round 10 Kr1stal kellyS UdoTan,,,,,,,,68,1,1
