,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
UdoTan GE,,2 Round 3 Meiy Akame Round 21 gyen Jinboong,3 Round 8 Art Jinboong Meiy Round 18 gyen Akame Jinboong Round 22 Meiy Akame gyen,,,,,,,,50,1,1
Kr1stal GE,,3 Round 3 Jinboong gyen Round 7 Meiy gyen Round 19 Meiy gyen,,,,,,,,,37,1,0
kellyS GE,,5 Round 5 Akame Jinboong Round 9 Akame Jinboong Round 18 Meiy Art Round 20 Art Akame Round 26 Art Jinboong,,,1 Round 17 Meiy Akame Art gyen Jinboong,,,,,,58,3,0
Deryeon GE,,,2 Round 9 Meiy gyen Art Round 12 Meiy Jinboong gyen,,,,,,,,45,1,0
Papi GE,,2 Round 5 Meiy Art Round 20 gyen Meiy,1 Round 16 gyen Jinboong Art,,,,,,,,37,1,0
Jinboong DFM,,1 Round 14 Papi kellyS,,,,,,,,,34,0,0
Meiy DFM,,3 Round 13 UdoTan Deryeon Round 22 Deryeon Kr1stal Round 23 UdoTan Deryeon,1 Round 26 UdoTan kellyS Papi,2 Round 2 Deryeon UdoTan Kr1stal kellyS Round 25 Kr1stal UdoTan kellyS Deryeon,,,,,,,67,1,1
Art DFM,,2 Round 10 Papi Deryeon Round 16 UdoTan Deryeon,1 Round 11 kellyS UdoTan Papi,,,,,,,,36,2,0
Akame DFM,,1 Round 13 kellyS Papi,2 Round 1 Deryeon kellyS Kr1stal Round 19 Papi kellyS Deryeon,2 Round 6 UdoTan Kr1stal kellyS Deryeon Round 7 UdoTan Deryeon Kr1stal Papi,,,1 Round 19 kellyS Deryeon,,,,61,2,0
gyen DFM,,1 Round 10 UdoTan Kr1stal,1 Round 24 UdoTan kellyS Deryeon,,,1 Round 26 Kr1stal,,,,,34,2,0
