Map,Round Number,Score,Winning Team,Winning Side,Win Method
3Pearl,1,"""0-1""",RRQ,Attackers,Elimination
3Pearl,2,"""0-2""",RRQ,Attackers,Elimination
3Pearl,3,"""0-3""",RRQ,Attackers,Elimination
3Pearl,4,"""1-3""",NS,Defenders,Defuse
3Pearl,5,"""2-3""",NS,Defenders,Elimination
3Pearl,6,"""3-3""",NS,Defenders,Elimination
3Pearl,7,"""4-3""",NS,Defenders,Time Expired
3Pearl,8,"""5-3""",NS,Defenders,Elimination
3Pearl,9,"""5-4""",RRQ,Attackers,Elimination
3Pearl,10,"""5-5""",RRQ,Attackers,Spike Detonation
3Pearl,11,"""6-5""",NS,Defenders,Elimination
3Pearl,12,"""6-6""",RRQ,Attackers,Elimination
3Pearl,13,"""7-6""",RRQ,Attackers,Elimination
3Pearl,14,"""7-7""",NS,Defenders,Elimination
3Pearl,15,"""7-8""",NS,Defenders,Elimination
3Pearl,16,"""8-8""",RRQ,Attackers,Elimination
3Pearl,17,"""9-8""",RRQ,Attackers,Elimination
3Pearl,18,"""10-8""",RRQ,Attackers,Elimination
3Pearl,19,"""11-8""",RRQ,Attackers,Elimination
3Pearl,20,"""12-8""",RRQ,Attackers,Elimination
3Pearl,21,"""13-8""",RRQ,Attackers,Elimination
3Pearl,22,"""""",,,
3Pearl,23,"""""",,,
3Pearl,24,"""""",,,
