Map,Round Number,Score,Winning Team,Winning Side,Win Method
1Bind,1,"""0-1""",T1,Attackers,Elimination
1Bind,2,"""0-2""",T1,Attackers,Elimination
1Bind,3,"""0-3""",T1,Attackers,Spike Detonation
1Bind,4,"""0-4""",T1,Attackers,Elimination
1Bind,5,"""0-5""",T1,Attackers,Elimination
1Bind,6,"""0-6""",T1,Attackers,Elimination
1Bind,7,"""1-6""",PRX,Defenders,Defuse
1Bind,8,"""1-7""",T1,Attackers,Elimination
1Bind,9,"""1-8""",T1,Attackers,Spike Detonation
1Bind,10,"""1-9""",T1,Attackers,Spike Detonation
1Bind,11,"""2-9""",PRX,Defenders,Defuse
1Bind,12,"""3-9""",PRX,Defenders,Elimination
1Bind,13,"""4-9""",T1,Attackers,Elimination
1Bind,14,"""5-9""",T1,Attackers,Elimination
1Bind,15,"""5-10""",PRX,Defenders,Elimination
1Bind,16,"""5-11""",PRX,Defenders,Elimination
1Bind,17,"""6-11""",T1,Attackers,Spike Detonation
1Bind,18,"""6-12""",PRX,Defenders,Defuse
1Bind,19,"""6-13""",PRX,Defenders,Elimination
1Bind,20,"""""",,,
1Bind,21,"""""",,,
1Bind,22,"""""",,,
1Bind,23,"""""",,,
1Bind,24,"""""",,,
