,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
stax T1,,3 Round 19 HYUNMIN free1ng Round 26 BeYN HYUNMIN Round 27 BeYN HYUNMIN,,,,,,,,,34,5,0
BuZz T1,,3 Round 8 HYUNMIN free1ng Round 19 BeYN Flashback Round 21 MaKo BeYN,3 Round 6 HYUNMIN Flashback BeYN Round 9 free1ng BeYN Flashback Round 14 free1ng MaKo HYUNMIN,,,,,,,,44,0,1
Meteor T1,,2 Round 12 HYUNMIN BeYN Round 24 BeYN HYUNMIN,2 Round 7 Flashback free1ng MaKo Round 23 MaKo BeYN HYUNMIN,1 Round 18 Flashback HYUNMIN free1ng BeYN,,,,,,,55,0,0
iZu T1,,2 Round 15 BeYN MaKo Round 17 MaKo HYUNMIN,3 Round 13 MaKo free1ng BeYN Round 16 MaKo BeYN HYUNMIN Round 25 MaKo free1ng BeYN,,,1 Round 25 BeYN,,,,,49,3,2
carpe T1,,2 Round 2 BeYN free1ng Round 17 BeYN Flashback,,,,,,,,,38,2,0
free1ng DRX,,5 Round 4 stax BuZz Round 6 iZu carpe Round 15 BuZz iZu Round 24 Meteor carpe Round 25 stax Meteor,3 Round 5 Meteor carpe stax Round 12 Meteor carpe iZu Round 23 BuZz stax carpe,,,1 Round 17 iZu,,,,,65,5,1
MaKo DRX,,3 Round 10 carpe BuZz Round 24 BuZz iZu Round 27 iZu stax,2 Round 2 stax BuZz carpe Round 22 BuZz carpe Meteor,,,,2 Round 2 carpe BuZz Round 27 stax iZu,,,,46,2,1
BeYN DRX,,1 Round 15 Meteor stax,,,,,,,,,30,3,0
HYUNMIN DRX,,4 Round 16 BuZz Meteor Round 18 BuZz stax Round 27 carpe Meteor Round 28 carpe Meteor,1 Round 20 Meteor carpe iZu,1 Round 17 BuZz carpe Meteor stax,,,,,,,68,0,0
Flashback DRX,,3 Round 1 iZu BuZz Round 5 iZu BuZz Round 11 iZu stax,1 Round 26 carpe iZu stax,,,,,1 Round 26 carpe stax iZu,,,41,1,1
