Map,Round Number,Score,Winning Team,Winning Side,Win Method
2Haven,1,"""0-1""",DRX,Attackers,Elimination
2Haven,2,"""0-2""",DRX,Attackers,Elimination
2Haven,3,"""1-2""",T1,Defenders,Defuse
2Haven,4,"""1-3""",DRX,Attackers,Spike Detonation
2Haven,5,"""1-4""",DRX,Attackers,Elimination
2Haven,6,"""2-4""",T1,Defenders,Elimination
2Haven,7,"""3-4""",T1,Defenders,Elimination
2Haven,8,"""4-4""",T1,Defenders,Elimination
2Haven,9,"""5-4""",T1,Defenders,Defuse
2Haven,10,"""5-5""",DRX,Attackers,Elimination
2Haven,11,"""5-6""",DRX,Attackers,Elimination
2Haven,12,"""5-7""",DRX,Attackers,Elimination
2Haven,13,"""6-7""",DRX,Attackers,Elimination
2Haven,14,"""7-7""",DRX,Attackers,Elimination
2Haven,15,"""7-8""",T1,Defenders,Elimination
2Haven,16,"""8-8""",DRX,Attackers,Spike Detonation
2Haven,17,"""8-9""",T1,Defenders,Defuse
2Haven,18,"""9-9""",DRX,Attackers,Elimination
2Haven,19,"""10-9""",DRX,Attackers,Elimination
2Haven,20,"""10-10""",T1,Defenders,Elimination
2Haven,21,"""11-10""",DRX,Attackers,Spike Detonation
2Haven,22,"""11-11""",T1,Defenders,Elimination
2Haven,23,"""12-11""",DRX,Attackers,Elimination
2Haven,24,"""12-12""",T1,Defenders,Defuse
2Haven,25,"""13-12""",T1,Defenders,Defuse
2Haven,26,"""13-13""",T1,Defenders,Defuse
2Haven,27,"""13-14""",DRX,Attackers,Elimination
2Haven,28,"""13-15""",T1,Defenders,Elimination
