Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
iZu,T1,Map_2_2Lotus,All,Cypher,1.28,181,15,10,8,+5,81%,126,36%,1,2,-1
Meteor,T1,Map_2_2Lotus,All,Iso,1.26,233,20,16,5,+4,76%,153,37%,3,2,+1
BuZz,T1,Map_2_2Lotus,All,Raze,1.18,257,17,16,8,+1,76%,178,15%,7,1,+6
carpe,T1,Map_2_2Lotus,All,Omen,1.13,197,15,14,10,+1,76%,145,31%,2,2,0
stax,T1,Map_2_2Lotus,All,Sova,0.90,122,8,10,6,-2,76%,97,23%,0,1,-1
Karon,GEN,Map_2_2Lotus,All,Omen,1.29,234,18,14,12,+4,81%,147,30%,0,1,-1
Munchkin,GEN,Map_2_2Lotus,All,Viper,1.03,212,15,15,10,0,76%,121,22%,1,1,0
Foxy9,GEN,Map_2_2Lotus,All,Killjoy,1.02,208,15,15,4,0,57%,146,37%,3,1,+2
yoman,GEN,Map_2_2Lotus,All,Fade,0.88,168,12,15,8,-3,71%,105,22%,1,1,0
t3xture,GEN,Map_2_2Lotus,All,Raze,0.29,93,6,16,3,-10,43%,66,21%,3,9,-6
iZu,T1,Map_2_2Lotus,Attack,Cypher,1.05,163,7,7,6,0,83%,109,44%,1,2,-1
Meteor,T1,Map_2_2Lotus,Attack,Iso,1.19,236,11,10,3,+1,75%,156,38%,3,2,+1
BuZz,T1,Map_2_2Lotus,Attack,Raze,1.12,259,10,11,6,-1,75%,175,9%,2,1,+1
carpe,T1,Map_2_2Lotus,Attack,Omen,0.97,173,8,8,4,0,75%,125,32%,0,1,-1
stax,T1,Map_2_2Lotus,Attack,Sova,0.68,107,4,7,3,-3,75%,81,21%,0,0,0
Karon,GEN,Map_2_2Lotus,Attack,Omen,0.66,125,3,7,3,-4,67%,80,17%,0,1,-1
Munchkin,GEN,Map_2_2Lotus,Attack,Viper,0.99,217,6,7,4,-1,67%,139,28%,0,1,-1
Foxy9,GEN,Map_2_2Lotus,Attack,Killjoy,0.66,168,5,7,1,-2,56%,114,45%,0,1,-1
yoman,GEN,Map_2_2Lotus,Attack,Fade,0.78,167,6,7,1,-1,67%,104,17%,1,1,0
t3xture,GEN,Map_2_2Lotus,Attack,Raze,0.26,84,3,7,1,-4,22%,56,13%,1,3,-2
iZu,T1,Map_2_2Lotus,Defend,Cypher,1.59,206,8,3,2,+5,78%,149,30%,0,0,0
Meteor,T1,Map_2_2Lotus,Defend,Iso,1.36,230,9,6,2,+3,78%,147,35%,0,0,0
BuZz,T1,Map_2_2Lotus,Defend,Raze,1.26,256,7,5,2,+2,78%,183,21%,5,0,+5
carpe,T1,Map_2_2Lotus,Defend,Omen,1.34,230,7,6,6,+1,78%,171,30%,2,1,+1
stax,T1,Map_2_2Lotus,Defend,Sova,1.20,142,4,3,3,+1,78%,117,25%,0,1,-1
Karon,GEN,Map_2_2Lotus,Defend,Omen,1.76,316,15,7,9,+8,92%,196,34%,0,0,0
Munchkin,GEN,Map_2_2Lotus,Defend,Viper,1.07,208,9,8,6,+1,83%,109,17%,1,0,+1
Foxy9,GEN,Map_2_2Lotus,Defend,Killjoy,1.28,238,10,8,3,+2,58%,170,34%,3,0,+3
yoman,GEN,Map_2_2Lotus,Defend,Fade,0.96,169,6,8,7,-2,75%,106,26%,0,0,0
t3xture,GEN,Map_2_2Lotus,Defend,Raze,0.32,100,3,9,2,-6,58%,74,25%,2,6,-4
