,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
stax T1,,1 Round 2 primmie Crws,,,,,,,,,35,0,0
BuZz T1,,2 Round 11 primmie Crws Round 16 Governor JitBoyS,1 Round 3 Governor primmie ban,,,1 Round 11 ban,,,,,66,0,0
Sylvan T1,,2 Round 9 JitBoyS Crws Round 17 JitBoyS Crws,,,,,,,,,28,0,0
Meteor T1,,3 Round 1 JitBoyS primmie Round 10 Governor Crws Round 12 Governor primmie,1 Round 15 Governor primmie Crws,,,,,,,,52,0,0
iZu T1,,2 Round 11 Governor JitBoyS Round 12 Crws JitBoyS,,,,,,,,,41,6,0
Crws TLN,,2 Round 13 iZu stax Round 16 stax iZu,,,,,1 Round 16 iZu stax,,,,38,1,0
Governor TLN,,3 Round 14 Sylvan stax Round 16 Sylvan Meteor Round 17 iZu Sylvan,1 Round 6 Sylvan BuZz stax,1 Round 8 Meteor BuZz Sylvan stax,,,,,,,53,0,1
ban TLN,,3 Round 5 stax iZu Round 9 BuZz Sylvan Round 15 Meteor iZu,2 Round 2 BuZz Meteor Sylvan Round 11 stax iZu BuZz ban,,,,,,,,107,3,2
JitBoyS TLN,,3 Round 1 iZu Sylvan Round 2 stax iZu Round 4 iZu stax,,,,,,,,,53,0,0
primmie TLN,,4 Round 1 BuZz stax Round 5 Meteor BuZz Round 7 Meteor iZu Round 10 BuZz Sylvan,,,,,,,,,53,0,0
