Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
BuZz,T1,Map_2_2Bind,All,Raze,0.80,207,9,15,5,-6,47%,156,19%,2,3,-1
Meteor,T1,Map_2_2Bind,All,Vyse,0.78,225,13,16,2,-3,47%,139,34%,2,2,0
iZu,T1,Map_2_2Bind,All,Gekko,0.75,164,11,15,3,-4,71%,102,29%,0,3,-3
stax,T1,Map_2_2Bind,All,Kayo,0.66,122,7,14,5,-7,65%,89,56%,0,0,0
Sylvan,T1,Map_2_2Bind,All,Brimstone,0.43,106,5,14,4,-9,71%,69,21%,0,5,-5
ban,TLN,Map_2_2Bind,All,Gekko,1.78,308,19,5,5,+14,88%,196,45%,2,0,+2
Governor,TLN,Map_2_2Bind,All,Raze,1.28,285,18,9,0,+9,76%,159,18%,6,3,+3
primmie,TLN,Map_2_2Bind,All,Deadlock,1.21,193,14,10,1,+4,82%,130,46%,1,1,0
JitBoyS,TLN,Map_2_2Bind,All,Astra,1.06,214,14,11,4,+3,88%,139,32%,3,0,+3
Crws,TLN,Map_2_2Bind,All,Fade,0.89,134,9,10,2,-1,82%,89,20%,1,0,+1
BuZz,T1,Map_2_2Bind,Attack,Raze,0.72,195,6,11,3,-5,42%,145,15%,2,1,+1
Meteor,T1,Map_2_2Bind,Attack,Vyse,0.73,212,8,11,2,-3,42%,138,35%,1,2,-1
iZu,T1,Map_2_2Bind,Attack,Gekko,0.90,187,9,10,1,-1,83%,118,24%,0,3,-3
stax,T1,Map_2_2Bind,Attack,Kayo,0.64,124,5,10,3,-5,58%,75,86%,0,0,0
Sylvan,T1,Map_2_2Bind,Attack,Brimstone,0.37,81,2,10,4,-8,75%,62,17%,0,3,-3
ban,TLN,Map_2_2Bind,Attack,Gekko,1.11,203,4,3,2,+1,100%,126,44%,1,0,+1
Governor,TLN,Map_2_2Bind,Attack,Raze,1.43,336,6,3,0,+3,80%,160,27%,2,1,+1
primmie,TLN,Map_2_2Bind,Attack,Deadlock,1.04,139,4,3,0,+1,100%,107,40%,1,0,+1
JitBoyS,TLN,Map_2_2Bind,Attack,Astra,0.90,188,3,4,4,-1,80%,133,27%,0,0,0
Crws,TLN,Map_2_2Bind,Attack,Fade,1.86,230,5,2,2,+3,100%,159,19%,0,0,0
BuZz,T1,Map_2_2Bind,Defend,Raze,1.00,238,3,4,2,-1,60%,181,27%,0,2,-2
Meteor,T1,Map_2_2Bind,Defend,Vyse,0.88,257,5,5,0,0,60%,139,33%,1,0,+1
iZu,T1,Map_2_2Bind,Defend,Gekko,0.37,110,2,5,2,-3,40%,66,67%,0,0,0
stax,T1,Map_2_2Bind,Defend,Kayo,0.70,120,2,4,2,-2,80%,121,33%,0,0,0
Sylvan,T1,Map_2_2Bind,Defend,Brimstone,0.58,169,3,4,0,-1,60%,85,29%,0,2,-2
ban,TLN,Map_2_2Bind,Defend,Gekko,2.06,352,15,2,3,+13,83%,225,45%,1,0,+1
Governor,TLN,Map_2_2Bind,Defend,Raze,1.22,265,12,6,0,+6,75%,158,11%,4,2,+2
primmie,TLN,Map_2_2Bind,Defend,Deadlock,1.28,216,10,7,1,+3,75%,139,47%,0,1,-1
JitBoyS,TLN,Map_2_2Bind,Defend,Astra,1.13,225,11,7,0,+4,92%,142,33%,3,0,+3
Crws,TLN,Map_2_2Bind,Defend,Fade,0.49,94,4,8,0,-4,75%,59,21%,1,0,+1
