,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Crws TLN,,,,,,,,,,,41,2,0
Governor TLN,,,,,,,,,,,31,0,0
ban TLN,,2 Round 10 Munchkin Karon Round 13 t3xture Munchkin,1 Round 1 Foxy9 yoman Karon,,,,,,,,43,5,0
JitBoyS TLN,,2 Round 3 t3xture Foxy9 Round 13 yoman Karon,,,,,,,,,18,0,1
primmie TLN,,3 Round 7 t3xture Karon Round 10 Foxy9 yoman Round 18 t3xture Munchkin,2 Round 2 t3xture Karon Foxy9 Round 14 Foxy9 t3xture Karon,,,1 Round 7 yoman,,,,,50,0,1
Munchkin GEN,,1 Round 4 Governor Crws,,,,,,,,,41,0,0
t3xture GEN,,5 Round 9 Crws Governor Round 10 primmie ban Round 11 ban Governor Round 15 Governor Crws Round 17 JitBoyS ban,2 Round 16 Crws Governor primmie Round 20 JitBoyS primmie ban,,,,,,,,71,0,0
Foxy9 GEN,,,,2 Round 5 JitBoyS Governor primmie Crws Round 12 Governor primmie JitBoyS ban,,,,,,,63,4,0
yoman GEN,,1 Round 4 JitBoyS primmie,2 Round 7 ban Crws primmie Round 13 Governor primmie ban,,,,,,,,62,1,1
Karon GEN,,3 Round 9 primmie JitBoyS Round 14 Crws JitBoyS Round 15 ban primmie,2 Round 6 Crws primmie JitBoyS Round 18 primmie Governor Crws,1 Round 8 Governor primmie ban Crws,,1 Round 15 primmie,,,,,111,2,1
