Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
primmie,TLN,Map_3_3Split,All,Deadlock,2.00,365,25,9,9,+16,94%,232,51%,1,1,0
JitBoyS,TLN,Map_3_3Split,All,Astra,1.78,258,19,5,5,+14,83%,157,31%,1,0,+1
Governor,TLN,Map_3_3Split,All,Raze,1.16,258,16,12,4,+4,72%,160,21%,4,4,0
Crws,TLN,Map_3_3Split,All,Skye,0.72,124,8,12,12,-4,89%,73,24%,2,2,0
ban,TLN,Map_3_3Split,All,Cypher,0.56,102,5,11,5,-6,72%,65,23%,1,2,-1
Persia,NS,Map_3_3Split,All,Astra,0.96,173,11,12,4,-1,50%,108,22%,2,3,-1
Dambi,NS,Map_3_3Split,All,Neon,0.87,231,12,16,5,-4,67%,157,28%,4,2,+2
Francis,NS,Map_3_3Split,All,Tejo,0.77,175,9,16,4,-7,61%,120,23%,0,1,-1
Ivy,NS,Map_3_3Split,All,Breach,0.73,159,10,14,9,-4,72%,90,36%,2,0,+2
margaret,NS,Map_3_3Split,All,Cypher,0.47,120,7,15,4,-8,61%,94,19%,1,3,-2
primmie,TLN,Map_3_3Split,Attack,Deadlock,1.76,295,7,3,5,+4,83%,203,58%,0,1,-1
JitBoyS,TLN,Map_3_3Split,Attack,Astra,2.05,299,7,2,3,+5,83%,172,41%,1,0,+1
Governor,TLN,Map_3_3Split,Attack,Raze,1.54,344,7,4,1,+3,83%,208,21%,2,1,+1
Crws,TLN,Map_3_3Split,Attack,Skye,1.04,159,4,4,6,0,100%,78,20%,0,0,0
ban,TLN,Map_3_3Split,Attack,Cypher,0.45,62,1,4,1,-3,50%,45,11%,0,1,-1
Persia,NS,Map_3_3Split,Attack,Astra,1.34,203,9,6,2,+3,50%,128,30%,2,1,+1
Dambi,NS,Map_3_3Split,Attack,Neon,0.76,207,7,11,4,-4,58%,133,36%,1,1,0
Francis,NS,Map_3_3Split,Attack,Tejo,0.52,138,4,11,2,-7,58%,98,15%,0,1,-1
Ivy,NS,Map_3_3Split,Attack,Breach,0.84,175,7,9,5,-2,83%,94,40%,2,0,+2
margaret,NS,Map_3_3Split,Attack,Cypher,0.38,118,5,10,1,-5,58%,86,25%,1,3,-2
primmie,TLN,Map_3_3Split,Defend,Deadlock,2.11,400,18,6,4,+12,100%,247,48%,1,0,+1
JitBoyS,TLN,Map_3_3Split,Defend,Astra,1.65,238,12,3,2,+9,83%,149,27%,0,0,0
Governor,TLN,Map_3_3Split,Defend,Raze,0.96,215,9,8,3,+1,67%,135,21%,2,3,-1
Crws,TLN,Map_3_3Split,Defend,Skye,0.55,107,4,8,6,-4,83%,71,27%,2,2,0
ban,TLN,Map_3_3Split,Defend,Cypher,0.62,122,4,7,4,-3,83%,74,31%,1,1,0
Persia,NS,Map_3_3Split,Defend,Astra,0.19,113,2,6,2,-4,50%,69,8%,0,2,-2
Dambi,NS,Map_3_3Split,Defend,Neon,1.08,281,5,5,1,0,83%,207,19%,3,1,+2
Francis,NS,Map_3_3Split,Defend,Tejo,1.28,250,5,5,2,0,67%,164,32%,0,0,0
Ivy,NS,Map_3_3Split,Defend,Breach,0.52,127,3,5,4,-2,50%,83,29%,0,0,0
margaret,NS,Map_3_3Split,Defend,Cypher,0.64,124,2,5,3,-3,67%,111,13%,0,0,0
