,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
free1ng DRX,,1 Round 12 t3xture Karon,2 Round 1 Karon Foxy9 Ash Round 11 Karon Foxy9 t3xture,,,,,1 Round 1 Foxy9 Karon Ash,,,35,0,0
MaKo DRX,,3 Round 4 Munchkin Karon Round 6 Ash Karon Round 8 Ash Karon,1 Round 13 Karon Ash Foxy9,,,,1 Round 13 Foxy9 Ash,,,,47,0,1
BeYN DRX,,1 Round 14 Munchkin Ash,3 Round 2 Foxy9 t3xture Karon Round 6 t3xture Foxy9 Munchkin Round 19 Munchkin Foxy9 Ash,,,1 Round 6 Munchkin,,,,,53,0,0
Estrella DRX,,1 Round 18 t3xture Foxy9,1 Round 9 Ash Karon Foxy9,,,,,,,,33,8,0
HYUNMIN DRX,,4 Round 7 Ash Karon Round 19 Karon t3xture Round 20 Foxy9 Munchkin Round 21 Munchkin t3xture,1 Round 8 Foxy9 Munchkin t3xture,,,,,,,,52,0,0
Munchkin GEN,,2 Round 1 MaKo HYUNMIN Round 17 HYUNMIN MaKo,1 Round 20 Estrella BeYN free1ng,,,,,,,,54,0,0
t3xture GEN,,7 Round 4 HYUNMIN Estrella Round 6 MaKo Estrella Round 7 free1ng MaKo Round 12 BeYN MaKo Round 17 Estrella BeYN Round 18 BeYN HYUNMIN Round 19 Estrella free1ng,3 Round 5 BeYN Estrella HYUNMIN Round 11 HYUNMIN MaKo BeYN Round 14 MaKo free1ng BeYN,,,,,,,,80,1,1
Foxy9 GEN,,4 Round 4 free1ng MaKo Round 7 BeYN HYUNMIN Round 9 free1ng HYUNMIN Round 14 Estrella HYUNMIN,2 Round 15 HYUNMIN MaKo Estrella Round 16 MaKo Estrella free1ng,,,1 Round 12 free1ng,,,,,74,1,0
Ash GEN,,4 Round 3 HYUNMIN free1ng Round 11 Estrella free1ng Round 13 Estrella HYUNMIN Round 21 free1ng MaKo,,,,1 Round 20 HYUNMIN,,,,,56,6,1
Karon GEN,,3 Round 3 BeYN Estrella Round 5 MaKo free1ng Round 12 HYUNMIN Estrella,,,,,,,,,28,0,0
