Map,Round Number,Score,Winning Team,Winning Side,Win Method
2Icebox,1,"""1-0""",PRX,Attackers,Elimination
2Icebox,2,"""2-0""",PRX,Attackers,Elimination
2Icebox,3,"""3-0""",PRX,Attackers,Elimination
2Icebox,4,"""4-0""",PRX,Attackers,Elimination
2Icebox,5,"""5-0""",PRX,Attackers,Spike Detonation
2Icebox,6,"""6-0""",PRX,Attackers,Spike Detonation
2Icebox,7,"""6-1""",DRX,Defenders,Defuse
2Icebox,8,"""7-1""",PRX,Attackers,Spike Detonation
2Icebox,9,"""7-2""",DRX,Defenders,Elimination
2Icebox,10,"""8-2""",PRX,Attackers,Elimination
2Icebox,11,"""9-2""",PRX,Attackers,Elimination
2Icebox,12,"""9-3""",DRX,Defenders,Defuse
2Icebox,13,"""9-4""",PRX,Attackers,Elimination
2Icebox,14,"""9-5""",PRX,Attackers,Spike Detonation
2Icebox,15,"""10-5""",DRX,Defenders,Elimination
2Icebox,16,"""10-6""",PRX,Attackers,Spike Detonation
2Icebox,17,"""10-7""",PRX,Attackers,Elimination
2Icebox,18,"""10-8""",PRX,Attackers,Elimination
2Icebox,19,"""10-9""",PRX,Attackers,Elimination
2Icebox,20,"""10-10""",PRX,Attackers,Elimination
2Icebox,21,"""10-11""",PRX,Attackers,Spike Detonation
2Icebox,22,"""10-12""",PRX,Attackers,Elimination
2Icebox,23,"""10-13""",PRX,Attackers,Elimination
2Icebox,24,"""""",,,
