,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Jinboong DFM,,1 Round 4 kellyS UdoTan,1 Round 18 Papi UdoTan Kr1stal,,,,,,,,57,2,1
Meiy DFM,,3 Round 3 UdoTan Kr1stal Round 5 yokam kellyS Round 10 UdoTan yokam,1 Round 13 yokam kellyS Papi,,,1 Round 1 Papi,,,,,40,2,0
Art DFM,,1 Round 9 Kr1stal kellyS,,,,,,,,,33,1,0
Akame DFM,,4 Round 9 UdoTan yokam Round 12 yokam UdoTan Round 14 kellyS yokam Round 17 yokam Papi,1 Round 10 Kr1stal Papi kellyS,,,,,,,,67,1,0
gyen DFM,,2 Round 4 yokam Papi Round 17 kellyS Kr1stal,1 Round 2 kellyS UdoTan yokam,,,,,,,,47,0,0
UdoTan GE,,5 Round 5 gyen Akame Round 6 Art Akame Round 7 Art Meiy Round 12 Art Meiy Round 14 Jinboong gyen,,,,,,,,,48,0,0
Kr1stal GE,,,1 Round 4 Jinboong Art Akame,,,1 Round 13 Meiy,,1 Round 4 Akame Jinboong Art,,,55,0,0
kellyS GE,,5 Round 1 Jinboong Art Round 3 Jinboong Meiy Round 4 gyen Meiy Round 8 Akame Meiy Round 11 Jinboong Meiy,1 Round 16 Art Meiy gyen,,,,,,,,69,9,1
Papi GE,,4 Round 5 Jinboong Art Round 11 Art gyen Round 14 Meiy Akame Round 20 Art Meiy,,,,1 Round 9 Art,,,,,50,0,0
yokam GE,,2 Round 7 Akame gyen Round 9 Meiy gyen,,,,,,,,,44,0,0
