,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Persia NS,,1 Round 12 crazyguy Kushy,1 Round 17 Monyet crazyguy Kushy,,,1 Round 12 Kushy,,,,,59,0,0
Dambi NS,,3 Round 8 crazyguy Jemkin Round 14 Kushy crazyguy Round 15 Jemkin Monyet,,,,,,,,,37,1,2
Francis NS,,,,,,,,,,,40,4,0
Ivy NS,,2 Round 3 xffero Jemkin Round 17 Jemkin xffero,,,,,,,,,43,0,0
margaret NS,,3 Round 9 xffero crazyguy Round 14 xffero Jemkin Round 18 Jemkin xffero,,,,,,,,,38,0,0
crazyguy RRQ,,3 Round 1 Persia Francis Round 6 margaret Persia Round 10 margaret Ivy,1 Round 14 margaret Francis Persia,,,,,,,,76,1,1
Kushy RRQ,,2 Round 4 Dambi Francis Round 7 Dambi margaret,3 Round 3 Dambi Francis Ivy Round 8 Dambi Persia Ivy Round 12 Dambi Ivy Francis,,,,,1 Round 8 Ivy Persia Dambi,,,95,1,2
xffero RRQ,,1 Round 2 Francis Persia,,,,,,,,,47,1,0
Monyet RRQ,,1 Round 5 Ivy margaret,,,,1 Round 18 Francis,,,,,51,1,0
Jemkin RRQ,,6 Round 1 Dambi Ivy Round 2 margaret Dambi Round 10 Persia Francis Round 13 Persia Francis Round 16 Persia Ivy Round 18 Persia Ivy,1 Round 5 Francis Persia Dambi,,,,,,,,77,0,0
