,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Jinggg PRX,,2 Round 6 NcSlasher dos9 Round 9 BerserX dos9,,,,1 Round 9 dos9,,,,,51,1,1
f0rsakeN PRX,,2 Round 5 dos9 Shiro Round 10 Famouz NcSlasher,1 Round 2 dos9 NcSlasher BerserX,,,,,,,,39,2,0
d4v41 PRX,,2 Round 13 NcSlasher dos9 Round 21 BerserX dos9,1 Round 17 Shiro Famouz dos9,,,,,,,,50,1,0
PatMen PRX,,4 Round 6 Shiro BerserX Round 7 Shiro NcSlasher Round 20 NcSlasher Shiro Round 21 Shiro NcSlasher,,1 Round 12 BerserX Shiro Famouz dos9,,2 Round 2 Famouz Round 21 NcSlasher,,,,,59,2,0
something PRX,,3 Round 4 dos9 Shiro Round 7 Famouz dos9 Round 14 dos9 BerserX,2 Round 1 NcSlasher dos9 Famouz Round 13 Famouz Shiro BerserX,,,,,,,,65,0,0
Famouz BME,,3 Round 1 PatMen d4v41 Round 8 d4v41 something Round 12 d4v41 something,5 Round 2 d4v41 Jinggg f0rsakeN Round 14 f0rsakeN something Jinggg Round 15 d4v41 PatMen Jinggg Round 17 f0rsakeN PatMen Jinggg Round 18 something d4v41 f0rsakeN,,,,,,,,75,0,1
BerserX BME,,2 Round 9 d4v41 something Round 16 something f0rsakeN,,,,,,,,,47,0,1
NcSlasher BME,,4 Round 6 something PatMen Round 13 something Jinggg Round 19 something PatMen Round 21 something d4v41,,,,,,,,,54,1,0
Shiro BME,,,,,,,,,,,41,1,0
dos9 BME,,1 Round 8 f0rsakeN Jinggg,,,,,,,,,37,1,1
