,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Jinggg PRX,,6 Round 4 UdoTan kellyS Round 5 Deryeon Kr1stal Round 7 Kr1stal Deryeon Round 16 Papi kellyS Round 17 Papi UdoTan Round 18 Papi UdoTan,1 Round 15 kellyS Kr1stal Deryeon,,,,,,,,65,0,0
f0rsakeN PRX,,5 Round 1 Deryeon Papi Round 3 UdoTan Deryeon Round 8 Papi Deryeon Round 9 Deryeon UdoTan Round 12 kellyS Kr1stal,,,,1 Round 12 Kr1stal,,,,,66,1,1
d4v41 PRX,,2 Round 1 Kr1stal UdoTan Round 3 Kr1stal kellyS,3 Round 9 kellyS Papi Kr1stal Round 13 UdoTan Kr1stal Papi Round 16 Deryeon Kr1stal UdoTan,,,1 Round 13 Papi,,,,,81,0,0
PatMen PRX,,3 Round 10 Kr1stal Deryeon Round 14 Papi kellyS Round 17 kellyS Deryeon,,,,,,,,,59,5,1
something PRX,,2 Round 6 Papi Deryeon Round 8 Kr1stal UdoTan,,,,,,,,,30,0,0
UdoTan GE,,1 Round 16 something Jinggg,,,,,,,,,53,0,0
Kr1stal GE,,1 Round 6 something f0rsakeN,1 Round 1 something Jinggg f0rsakeN,,,,,,,,47,2,0
kellyS GE,,1 Round 2 something Jinggg,,1 Round 8 f0rsakeN Jinggg PatMen something,,1 Round 8 something,,,,,40,4,0
Deryeon GE,,4 Round 5 PatMen f0rsakeN Round 10 Jinggg d4v41 Round 12 d4v41 Jinggg Round 13 something Jinggg,1 Round 11 something Jinggg PatMen,,,,,,,,66,0,0
Papi GE,,3 Round 2 d4v41 PatMen Round 10 PatMen something Round 18 d4v41 something,,,,,1 Round 10 something PatMen,,,,48,1,0
