Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
crazyguy,RRQ,Map_1_1Haven,All,Omen,1.19,218,21,17,14,+4,71%,140,26%,3,1,+2
Kushy,RRQ,Map_1_1Haven,All,Sova,1.07,188,17,17,6,0,79%,138,34%,1,1,0
Jemkin,RRQ,Map_1_1Haven,All,Iso,1.05,222,23,21,2,+2,61%,144,31%,7,4,+3
xffero,RRQ,Map_1_1Haven,All,Cypher,0.99,193,19,19,6,0,71%,134,22%,2,1,+1
Monyet,RRQ,Map_1_1Haven,All,Yoru,0.77,194,20,21,3,-1,64%,136,44%,4,4,0
invy,TS,Map_1_1Haven,All,Cypher,1.24,257,25,19,5,+6,71%,169,37%,1,2,-1
JessieVash,TS,Map_1_1Haven,All,Sova,1.14,194,20,17,3,+3,75%,136,44%,1,1,0
Wild0reoo,TS,Map_1_1Haven,All,Yoru,0.99,224,22,21,4,+1,68%,144,36%,4,5,-1
2GE,TS,Map_1_1Haven,All,Omen,0.71,145,12,21,12,-9,64%,97,19%,1,4,-3
Jremy,TS,Map_1_1Haven,All,Iso,0.62,164,16,22,5,-6,61%,108,36%,4,5,-1
crazyguy,RRQ,Map_1_1Haven,Attack,Omen,1.58,282,14,7,8,+7,93%,183,29%,1,0,+1
Kushy,RRQ,Map_1_1Haven,Attack,Sova,1.07,170,7,7,4,0,93%,135,28%,1,0,+1
Jemkin,RRQ,Map_1_1Haven,Attack,Iso,1.70,327,18,8,1,+10,86%,202,37%,6,2,+4
xffero,RRQ,Map_1_1Haven,Attack,Cypher,0.80,125,7,9,4,-2,79%,102,21%,1,0,+1
Monyet,RRQ,Map_1_1Haven,Attack,Yoru,1.00,263,14,11,3,+3,79%,179,50%,2,1,+1
invy,TS,Map_1_1Haven,Attack,Cypher,1.62,268,15,6,0,+9,79%,168,50%,1,1,0
JessieVash,TS,Map_1_1Haven,Attack,Sova,0.97,146,8,6,2,+2,79%,96,41%,1,1,0
Wild0reoo,TS,Map_1_1Haven,Attack,Yoru,1.20,253,13,9,2,+4,64%,154,35%,3,2,+1
2GE,TS,Map_1_1Haven,Attack,Omen,1.21,204,9,8,8,+1,86%,136,27%,1,1,0
Jremy,TS,Map_1_1Haven,Attack,Iso,0.54,171,8,11,3,-3,57%,117,35%,2,1,+1
crazyguy,RRQ,Map_1_1Haven,Defend,Omen,0.80,156,7,10,6,-3,50%,98,23%,2,1,+1
Kushy,RRQ,Map_1_1Haven,Defend,Sova,1.07,207,10,10,2,0,64%,141,41%,0,1,-1
Jemkin,RRQ,Map_1_1Haven,Defend,Iso,0.39,119,5,13,1,-8,36%,85,20%,1,2,-1
xffero,RRQ,Map_1_1Haven,Defend,Cypher,1.17,262,12,10,2,+2,64%,165,23%,1,1,0
Monyet,RRQ,Map_1_1Haven,Defend,Yoru,0.53,127,6,10,0,-4,50%,94,31%,2,3,-1
invy,TS,Map_1_1Haven,Defend,Cypher,0.87,247,10,13,5,-3,64%,169,29%,0,1,-1
JessieVash,TS,Map_1_1Haven,Defend,Sova,1.31,243,12,11,1,+1,71%,177,46%,0,0,0
Wild0reoo,TS,Map_1_1Haven,Defend,Yoru,0.78,196,9,12,2,-3,71%,133,37%,1,3,-2
2GE,TS,Map_1_1Haven,Defend,Omen,0.21,87,3,13,4,-10,43%,58,5%,0,3,-3
Jremy,TS,Map_1_1Haven,Defend,Iso,0.70,158,8,11,2,-3,64%,100,37%,2,4,-2
