Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
crazyguy,RRQ,Map_2_2Haven,All,Omen,1.58,282,23,13,9,+10,77%,191,30%,1,0,+1
Kushy,RRQ,Map_2_2Haven,All,Sova,1.10,224,17,16,6,+1,68%,146,36%,2,2,0
Monyet,RRQ,Map_2_2Haven,All,Yoru,1.01,205,15,15,5,0,68%,143,17%,1,4,-3
Jemkin,RRQ,Map_2_2Haven,All,Iso,1.00,269,21,19,3,+2,82%,164,40%,4,2,+2
xffero,RRQ,Map_2_2Haven,All,Cypher,0.65,145,12,15,1,-3,59%,98,41%,1,5,-4
Dep,ZETA,Map_2_2Haven,All,Neon,1.64,362,28,17,4,+11,77%,221,38%,5,2,+3
SugarZ3ro,ZETA,Map_2_2Haven,All,Omen,0.88,144,13,16,11,-3,77%,93,25%,2,2,0
CLZ,ZETA,Map_2_2Haven,All,Tejo,0.86,185,12,17,9,-5,64%,134,18%,1,1,0
SyouTa,ZETA,Map_2_2Haven,All,Cypher,0.70,151,13,18,2,-5,55%,112,55%,3,2,+1
Xdll,ZETA,Map_2_2Haven,All,Breach,0.64,170,12,20,11,-8,82%,119,30%,2,2,0
crazyguy,RRQ,Map_2_2Haven,Attack,Omen,1.98,310,12,4,5,+8,100%,219,34%,0,0,0
Kushy,RRQ,Map_2_2Haven,Attack,Sova,1.11,204,8,7,3,+1,70%,134,40%,1,1,0
Monyet,RRQ,Map_2_2Haven,Attack,Yoru,1.28,255,8,7,5,+1,100%,190,26%,1,1,0
Jemkin,RRQ,Map_2_2Haven,Attack,Iso,0.87,258,9,9,2,0,100%,152,29%,2,1,+1
xffero,RRQ,Map_2_2Haven,Attack,Cypher,1.03,223,9,7,1,+2,70%,160,36%,0,3,-3
Dep,ZETA,Map_2_2Haven,Attack,Neon,1.86,389,16,8,3,+8,75%,241,27%,3,1,+2
SugarZ3ro,ZETA,Map_2_2Haven,Attack,Omen,0.85,122,6,8,7,-2,67%,74,29%,1,1,0
CLZ,ZETA,Map_2_2Haven,Attack,Tejo,0.75,123,5,8,4,-3,67%,86,13%,0,1,-1
SyouTa,ZETA,Map_2_2Haven,Attack,Cypher,1.12,200,10,8,0,+2,75%,142,65%,2,1,+1
Xdll,ZETA,Map_2_2Haven,Attack,Breach,0.69,169,7,10,4,-3,83%,119,21%,1,1,0
crazyguy,RRQ,Map_2_2Haven,Defend,Omen,1.24,259,11,9,4,+2,58%,168,25%,1,0,+1
Kushy,RRQ,Map_2_2Haven,Defend,Sova,1.09,241,9,9,3,0,67%,156,33%,1,1,0
Monyet,RRQ,Map_2_2Haven,Defend,Yoru,0.79,165,7,8,0,-1,42%,105,8%,0,3,-3
Jemkin,RRQ,Map_2_2Haven,Defend,Iso,1.12,279,12,10,1,+2,67%,174,50%,2,1,+1
xffero,RRQ,Map_2_2Haven,Defend,Cypher,0.33,81,3,8,0,-5,50%,47,57%,1,2,-1
Dep,ZETA,Map_2_2Haven,Defend,Neon,1.38,330,12,9,1,+3,80%,198,57%,2,1,+1
SugarZ3ro,ZETA,Map_2_2Haven,Defend,Omen,0.91,171,7,8,4,-1,90%,116,23%,1,1,0
CLZ,ZETA,Map_2_2Haven,Defend,Tejo,0.99,260,7,9,5,-2,60%,191,21%,1,0,+1
SyouTa,ZETA,Map_2_2Haven,Defend,Cypher,0.19,93,3,10,2,-7,30%,75,42%,1,1,0
Xdll,ZETA,Map_2_2Haven,Defend,Breach,0.58,173,5,10,7,-5,80%,119,56%,1,1,0
