Map,Round Number,Score,Winning Team,Winning Side,Win Method
1Split,1,"""1-0""",RRQ,Defenders,Elimination
1Split,2,"""2-0""",RRQ,Defenders,Elimination
1Split,3,"""2-1""",ZETA,Attackers,Spike Detonation
1Split,4,"""3-1""",RRQ,Defenders,Elimination
1Split,5,"""3-2""",ZETA,Attackers,Elimination
1Split,6,"""3-3""",ZETA,Attackers,Spike Detonation
1Split,7,"""3-4""",ZETA,Attackers,Spike Detonation
1Split,8,"""3-5""",ZETA,Attackers,Elimination
1Split,9,"""4-5""",RRQ,Defenders,Time Expired
1Split,10,"""5-5""",RRQ,Defenders,Defuse
1Split,11,"""6-5""",RRQ,Defenders,Defuse
1Split,12,"""7-5""",RRQ,Defenders,Elimination
1Split,13,"""8-5""",ZETA,Attackers,Elimination
1Split,14,"""9-5""",ZETA,Attackers,Elimination
1Split,15,"""9-6""",RRQ,Defenders,Elimination
1Split,16,"""10-6""",ZETA,Attackers,Elimination
1Split,17,"""11-6""",ZETA,Attackers,Spike Detonation
1Split,18,"""12-6""",ZETA,Attackers,Elimination
1Split,19,"""13-6""",ZETA,Attackers,Elimination
1Split,20,"""""",,,
1Split,21,"""""",,,
1Split,22,"""""",,,
1Split,23,"""""",,,
1Split,24,"""""",,,
