Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
BuZz,T1,Map_1_1Icebox,All,Jett,0.98,203,13,13,2,0,68%,135,14%,2,6,-4
Meteor,T1,Map_1_1Icebox,All,Killjoy,0.85,175,11,16,4,-5,63%,121,30%,1,1,0
stax,T1,Map_1_1Icebox,All,Kayo,0.81,128,10,15,5,-5,58%,91,38%,0,1,-1
iZu,T1,Map_1_1Icebox,All,Tejo,0.65,165,11,16,1,-5,58%,106,41%,0,2,-2
Sylvan,T1,Map_1_1Icebox,All,Viper,0.42,127,7,17,4,-10,42%,104,27%,2,4,-2
thyy,TLN,Map_1_1Icebox,All,Viper,1.43,263,17,10,7,+7,89%,173,27%,4,0,+4
primmie,TLN,Map_1_1Icebox,All,Jett,1.36,261,18,11,7,+7,84%,192,32%,4,2,+2
Crws,TLN,Map_1_1Icebox,All,Sova,1.30,227,15,8,3,+7,74%,145,33%,3,1,+2
Killua,TLN,Map_1_1Icebox,All,Tejo,1.14,169,13,11,4,+2,74%,120,42%,1,1,0
JitBoyS,TLN,Map_1_1Icebox,All,Killjoy,0.99,183,14,12,1,+2,68%,127,46%,2,1,+1
BuZz,T1,Map_1_1Icebox,Attack,Jett,0.02,61,1,7,1,-6,29%,56,9%,0,4,-4
Meteor,T1,Map_1_1Icebox,Attack,Killjoy,0.31,108,2,7,2,-5,57%,80,18%,0,0,0
stax,T1,Map_1_1Icebox,Attack,Kayo,0.45,72,3,7,1,-4,43%,52,50%,0,1,-1
iZu,T1,Map_1_1Icebox,Attack,Tejo,0.76,270,6,7,1,-1,71%,175,62%,0,0,0
Sylvan,T1,Map_1_1Icebox,Attack,Viper,0.19,102,2,7,1,-5,29%,68,30%,0,2,-2
thyy,TLN,Map_1_1Icebox,Attack,Viper,1.32,282,11,7,3,+4,92%,181,34%,2,0,+2
primmie,TLN,Map_1_1Icebox,Attack,Jett,0.98,195,9,8,1,+1,75%,148,43%,2,2,0
Crws,TLN,Map_1_1Icebox,Attack,Sova,0.87,177,7,7,0,0,67%,120,32%,1,1,0
Killua,TLN,Map_1_1Icebox,Attack,Tejo,0.88,158,7,7,3,0,67%,111,33%,0,1,-1
JitBoyS,TLN,Map_1_1Icebox,Attack,Killjoy,0.87,183,8,9,1,-1,58%,121,57%,2,1,+1
BuZz,T1,Map_1_1Icebox,Defend,Jett,1.58,287,12,6,1,+6,92%,182,16%,2,2,0
Meteor,T1,Map_1_1Icebox,Defend,Killjoy,1.16,215,9,9,2,0,67%,146,35%,1,1,0
stax,T1,Map_1_1Icebox,Defend,Kayo,1.01,162,7,8,4,-1,67%,113,35%,0,0,0
iZu,T1,Map_1_1Icebox,Defend,Tejo,0.59,105,5,9,0,-4,50%,66,21%,0,2,-2
Sylvan,T1,Map_1_1Icebox,Defend,Viper,0.55,142,5,10,3,-5,50%,125,25%,2,2,0
thyy,TLN,Map_1_1Icebox,Defend,Viper,1.62,233,6,3,4,+3,86%,160,13%,2,0,+2
primmie,TLN,Map_1_1Icebox,Defend,Jett,2.00,375,9,3,6,+6,100%,268,17%,2,0,+2
Crws,TLN,Map_1_1Icebox,Defend,Sova,2.04,315,8,1,3,+7,86%,187,36%,2,0,+2
Killua,TLN,Map_1_1Icebox,Defend,Tejo,1.57,190,6,4,1,+2,86%,134,63%,1,0,+1
JitBoyS,TLN,Map_1_1Icebox,Defend,Killjoy,1.20,185,6,3,0,+3,86%,137,36%,0,0,0
