,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
stax T1,,2 Round 7 SugarZ3ro Xdll Round 17 Xdll SyouTa,,,,,,,,,36,6,0
BuZz T1,,4 Round 1 SugarZ3ro SyouTa Round 2 Dep SyouTa Round 6 SyouTa CLZ Round 19 CLZ SugarZ3ro,,,,,,,,,55,0,1
Sylvan T1,,1 Round 7 Dep SyouTa,1 Round 18 SyouTa CLZ SugarZ3ro,,,,,,,,57,0,0
Meteor T1,,4 Round 6 Dep Xdll Round 9 Xdll CLZ Round 13 SyouTa Xdll Round 14 SugarZ3ro CLZ,2 Round 10 Xdll SyouTa SugarZ3ro Round 20 SugarZ3ro SyouTa Xdll,,,,,,,,70,0,0
iZu T1,,3 Round 2 CLZ SugarZ3ro Round 17 Dep CLZ Round 19 Dep Xdll,,,,,1 Round 17 CLZ Dep,,,,47,0,0
Dep ZETA,,3 Round 3 Meteor Sylvan Round 4 Sylvan stax Round 13 iZu Sylvan,1 Round 5 stax Meteor iZu,,,,,,,,39,0,0
CLZ ZETA,,,,,,,,,,,38,2,0
SugarZ3ro ZETA,,3 Round 8 Meteor Sylvan Round 12 stax iZu Round 16 Meteor stax,2 Round 9 iZu stax Meteor Round 10 iZu Sylvan stax,,,,,,,,66,2,0
SyouTa ZETA,,3 Round 4 BuZz Meteor Round 11 BuZz iZu Round 20 BuZz Sylvan,,,,,,,,,49,1,0
Xdll ZETA,,3 Round 12 Meteor Sylvan Round 16 BuZz iZu Round 18 iZu stax,,,,,,,,,43,2,0
