Map,Round Number,Score,Winning Team,Winning Side,Win Method
1Fracture,1,"""1-0""",T1,Defenders,Elimination
1Fracture,2,"""2-0""",T1,Defenders,Defuse
1Fracture,3,"""2-1""",ZETA,Attackers,Elimination
1Fracture,4,"""2-2""",ZETA,Attackers,Elimination
1Fracture,5,"""2-3""",ZETA,Attackers,Elimination
1Fracture,6,"""3-3""",T1,Defenders,Elimination
1Fracture,7,"""4-3""",T1,Defenders,Elimination
1Fracture,8,"""5-3""",T1,Defenders,Elimination
1Fracture,9,"""5-4""",ZETA,Attackers,Elimination
1Fracture,10,"""6-4""",T1,Defenders,Elimination
1Fracture,11,"""6-5""",ZETA,Attackers,Elimination
1Fracture,12,"""6-6""",ZETA,Attackers,Elimination
1Fracture,13,"""7-6""",ZETA,Attackers,Elimination
1Fracture,14,"""8-6""",ZETA,Attackers,Elimination
1Fracture,15,"""9-6""",ZETA,Attackers,Spike Detonation
1Fracture,16,"""9-7""",T1,Defenders,Elimination
1Fracture,17,"""10-7""",ZETA,Attackers,Elimination
1Fracture,18,"""11-7""",ZETA,Attackers,Elimination
1Fracture,19,"""12-7""",ZETA,Attackers,Elimination
1Fracture,20,"""13-7""",ZETA,Attackers,Elimination
1Fracture,21,"""""",,,
1Fracture,22,"""""",,,
1Fracture,23,"""""",,,
1Fracture,24,"""""",,,
