Map,Round Number,Score,Winning Team,Winning Side,Win Method
3Fracture,1,"""1-0""",TLN,Defenders,Elimination
3Fracture,2,"""2-0""",TLN,Defenders,Elimination
3Fracture,3,"""3-0""",TLN,Defenders,Defuse
3Fracture,4,"""4-0""",TLN,Defenders,Defuse
3Fracture,5,"""5-0""",TLN,Defenders,Elimination
3Fracture,6,"""6-0""",TLN,Defenders,Elimination
3Fracture,7,"""7-0""",TLN,Defenders,Defuse
3Fracture,8,"""8-0""",TLN,Defenders,Defuse
3Fracture,9,"""8-1""",NS,Attackers,Elimination
3Fracture,10,"""9-1""",TLN,Defenders,Elimination
3Fracture,11,"""10-1""",TLN,Defenders,Elimination
3Fracture,12,"""10-2""",NS,Attackers,Elimination
3Fracture,13,"""10-3""",TLN,Defenders,Defuse
3Fracture,14,"""10-4""",TLN,Defenders,Defuse
3Fracture,15,"""11-4""",NS,Attackers,Elimination
3Fracture,16,"""11-5""",TLN,Defenders,Elimination
3Fracture,17,"""11-6""",TLN,Defenders,Elimination
3Fracture,18,"""12-6""",NS,Attackers,Elimination
3Fracture,19,"""13-6""",NS,Attackers,Elimination
3Fracture,20,"""""",,,
3Fracture,21,"""""",,,
3Fracture,22,"""""",,,
3Fracture,23,"""""",,,
3Fracture,24,"""""",,,
