,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Crws TLN,,4 Round 4 Wild0reoo JessieVash Round 8 Jremy 2GE Round 11 Jremy JessieVash Round 13 JessieVash 2GE,,,,,,,,,63,2,0
Killua TLN,,3 Round 3 2GE invy Round 7 2GE Jremy Round 15 Jremy 2GE,1 Round 10 Wild0reoo 2GE JessieVash,,,,,,,,73,5,0
JitBoyS TLN,,3 Round 2 invy 2GE Round 9 invy Jremy Round 14 Jremy JessieVash,,,,,,,,,50,0,0
primmie TLN,,5 Round 1 Jremy Wild0reoo Round 5 JessieVash Wild0reoo Round 11 Wild0reoo 2GE Round 12 JessieVash invy Round 15 invy JessieVash,1 Round 2 Jremy Wild0reoo JessieVash,,,,1 Round 11 Wild0reoo 2GE,,,,80,2,0
thyy TLN,,1 Round 1 JessieVash invy,2 Round 9 2GE Wild0reoo JessieVash Round 13 invy Wild0reoo Jremy,,,,,,,,70,0,0
JessieVash TS,,1 Round 5 JitBoyS Crws,,,,,,,,,48,0,0
Jremy TS,,1 Round 6 thyy Crws,,,,1 Round 6 Crws,,,,,38,0,0
invy TS,,2 Round 3 JitBoyS primmie Round 14 Crws JitBoyS,,,,,,,,,51,0,0
2GE TS,,2 Round 9 Killua JitBoyS Round 11 Crws thyy,,,,,,,,,39,0,0
Wild0reoo TS,,3 Round 3 Killua thyy Round 4 thyy Killua Round 6 Killua JitBoyS,,,,,1 Round 3 thyy Killua,,,,42,0,1
