Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Killua,TLN,Map_1_1Pearl,All,Fade,1.04,217,14,15,5,-1,56%,135,44%,1,2,-1
primmie,TLN,Map_1_1Pearl,All,Yoru,0.93,224,14,16,0,-2,61%,136,21%,3,2,+1
thyy,TLN,Map_1_1Pearl,All,Astra,0.75,201,12,17,5,-5,72%,128,54%,3,0,+3
JitBoyS,TLN,Map_1_1Pearl,All,Vyse,0.50,134,8,16,1,-8,56%,96,33%,1,4,-3
Crws,TLN,Map_1_1Pearl,All,Tejo,0.32,108,6,17,4,-11,50%,77,25%,0,2,-2
invy,TS,Map_1_1Pearl,All,Vyse,1.75,299,21,9,5,+12,78%,184,25%,2,1,+1
Jremy,TS,Map_1_1Pearl,All,Yoru,1.44,284,20,12,4,+8,83%,181,27%,4,2,+2
Wild0reoo,TS,Map_1_1Pearl,All,Chamber,1.06,213,15,12,3,+3,67%,128,14%,3,3,0
JessieVash,TS,Map_1_1Pearl,All,Sova,1.04,193,12,11,9,+1,83%,140,24%,0,0,0
2GE,TS,Map_1_1Pearl,All,Astra,0.97,183,13,10,5,+3,67%,113,21%,1,2,-1
Killua,TLN,Map_1_1Pearl,Attack,Fade,0.54,180,4,6,1,-2,50%,96,36%,0,1,-1
primmie,TLN,Map_1_1Pearl,Attack,Yoru,0.40,172,3,6,0,-3,50%,104,33%,0,1,-1
thyy,TLN,Map_1_1Pearl,Attack,Astra,0.56,111,2,5,2,-3,67%,91,29%,0,0,0
JitBoyS,TLN,Map_1_1Pearl,Attack,Vyse,0.76,236,4,6,0,-2,67%,152,23%,1,1,0
Crws,TLN,Map_1_1Pearl,Attack,Tejo,0.02,39,1,6,1,-5,33%,30,20%,0,2,-2
invy,TS,Map_1_1Pearl,Attack,Vyse,2.08,346,16,6,3,+10,75%,208,29%,1,0,+1
Jremy,TS,Map_1_1Pearl,Attack,Yoru,0.95,211,10,9,2,+1,83%,146,29%,1,2,-1
Wild0reoo,TS,Map_1_1Pearl,Attack,Chamber,1.05,263,12,9,1,+3,58%,158,19%,3,3,0
JessieVash,TS,Map_1_1Pearl,Attack,Sova,0.88,177,7,8,6,-1,83%,134,29%,0,0,0
2GE,TS,Map_1_1Pearl,Attack,Astra,0.53,132,7,8,0,-1,58%,75,19%,0,2,-2
Killua,TLN,Map_1_1Pearl,Defend,Fade,1.28,236,10,9,4,+1,58%,155,48%,1,1,0
primmie,TLN,Map_1_1Pearl,Defend,Yoru,1.19,251,11,10,0,+1,67%,152,15%,3,1,+2
thyy,TLN,Map_1_1Pearl,Defend,Astra,0.84,247,10,12,3,-2,75%,147,65%,3,0,+3
JitBoyS,TLN,Map_1_1Pearl,Defend,Vyse,0.38,84,4,10,1,-6,50%,68,63%,0,3,-3
Crws,TLN,Map_1_1Pearl,Defend,Tejo,0.52,144,5,11,3,-6,58%,101,27%,0,0,0
invy,TS,Map_1_1Pearl,Defend,Vyse,1.09,207,5,3,2,+2,83%,136,18%,1,1,0
Jremy,TS,Map_1_1Pearl,Defend,Yoru,2.44,433,10,3,2,+7,83%,249,25%,3,0,+3
Wild0reoo,TS,Map_1_1Pearl,Defend,Chamber,1.08,114,3,3,2,0,83%,69,0%,0,0,0
JessieVash,TS,Map_1_1Pearl,Defend,Sova,1.35,225,5,3,3,+2,83%,152,18%,0,0,0
2GE,TS,Map_1_1Pearl,Defend,Astra,1.84,287,6,2,5,+4,83%,191,22%,1,0,+1
