Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Jemkin,RRQ,Map_2_2Icebox,All,Jett,1.89,325,21,8,1,+13,82%,209,33%,5,1,+4
xffero,RRQ,Map_2_2Icebox,All,Killjoy,1.30,246,15,9,1,+6,82%,177,27%,4,2,+2
Monyet,RRQ,Map_2_2Icebox,All,Viper,1.16,175,12,9,11,+3,82%,121,27%,1,0,+1
Kushy,RRQ,Map_2_2Icebox,All,Kayo,1.11,206,14,11,6,+3,76%,133,44%,0,1,-1
crazyguy,RRQ,Map_2_2Icebox,All,Tejo,0.95,219,11,12,7,-1,82%,147,15%,2,1,+1
MaKo,DRX,Map_2_2Icebox,All,Viper,1.04,210,12,13,7,-1,71%,123,22%,2,1,+1
HYUNMIN,DRX,Map_2_2Icebox,All,Jett,1.00,254,15,16,2,-1,65%,161,27%,3,3,0
free1ng,DRX,Map_2_2Icebox,All,Tejo,0.52,131,7,14,2,-7,47%,96,11%,0,4,-4
Estrella,DRX,Map_2_2Icebox,All,Kayo,0.49,143,8,14,6,-6,65%,92,26%,0,3,-3
BeYN,DRX,Map_2_2Icebox,All,Killjoy,0.42,123,7,16,1,-9,71%,69,29%,0,1,-1
Jemkin,RRQ,Map_2_2Icebox,Attack,Jett,2.80,515,9,1,1,+8,80%,321,35%,2,0,+2
xffero,RRQ,Map_2_2Icebox,Attack,Killjoy,1.82,301,6,2,0,+4,100%,211,18%,2,0,+2
Monyet,RRQ,Map_2_2Icebox,Attack,Viper,1.37,154,4,1,3,+3,80%,122,22%,0,0,0
Kushy,RRQ,Map_2_2Icebox,Attack,Kayo,0.85,124,3,3,1,0,80%,76,100%,0,1,-1
crazyguy,RRQ,Map_2_2Icebox,Attack,Tejo,1.01,133,2,2,4,0,100%,96,22%,0,0,0
MaKo,DRX,Map_2_2Icebox,Attack,Viper,1.13,211,9,8,4,+1,67%,122,22%,1,0,+1
HYUNMIN,DRX,Map_2_2Icebox,Attack,Jett,1.25,313,13,11,2,+2,75%,202,31%,3,3,0
free1ng,DRX,Map_2_2Icebox,Attack,Tejo,0.78,172,7,9,2,-2,67%,121,13%,0,3,-3
Estrella,DRX,Map_2_2Icebox,Attack,Kayo,0.55,126,5,10,6,-5,67%,81,24%,0,2,-2
BeYN,DRX,Map_2_2Icebox,Attack,Killjoy,0.51,145,6,11,0,-5,75%,80,29%,0,0,0
Jemkin,RRQ,Map_2_2Icebox,Defend,Jett,1.51,246,12,7,0,+5,83%,163,30%,3,1,+2
xffero,RRQ,Map_2_2Icebox,Defend,Killjoy,1.08,223,9,7,1,+2,75%,164,31%,2,2,0
Monyet,RRQ,Map_2_2Icebox,Defend,Viper,1.07,184,8,8,8,0,83%,120,29%,1,0,+1
Kushy,RRQ,Map_2_2Icebox,Defend,Kayo,1.22,241,11,8,5,+3,75%,156,38%,0,0,0
crazyguy,RRQ,Map_2_2Icebox,Defend,Tejo,0.92,255,9,10,3,-1,75%,169,13%,2,1,+1
MaKo,DRX,Map_2_2Icebox,Defend,Viper,0.82,210,3,5,3,-2,80%,125,20%,1,1,0
HYUNMIN,DRX,Map_2_2Icebox,Defend,Jett,0.40,114,2,5,0,-3,40%,64,13%,0,0,0
free1ng,DRX,Map_2_2Icebox,Defend,Tejo,0.02,36,0,5,0,-5,,36,0%,0,1,-1
Estrella,DRX,Map_2_2Icebox,Defend,Kayo,0.35,186,3,4,0,-1,60%,119,29%,0,1,-1
BeYN,DRX,Map_2_2Icebox,Defend,Killjoy,0.19,71,1,5,1,-4,60%,41,25%,0,1,-1
