Map,Round Number,Score,Winning Team,Winning Side,Win Method
4Icebox,1,"""0-1""",RRQ,Defenders,Defuse
4Icebox,2,"""0-2""",RRQ,Defenders,Defuse
4Icebox,3,"""1-2""",PRX,Attackers,Elimination
4Icebox,4,"""2-2""",PRX,Attackers,Elimination
4Icebox,5,"""2-3""",RRQ,Defenders,Defuse
4Icebox,6,"""2-4""",RRQ,Defenders,Elimination
4Icebox,7,"""2-5""",RRQ,Defenders,Defuse
4Icebox,8,"""3-5""",PRX,Attackers,Spike Detonation
4Icebox,9,"""3-6""",RRQ,Defenders,Elimination
4Icebox,10,"""3-7""",RRQ,Defenders,Elimination
4Icebox,11,"""3-8""",RRQ,Defenders,Elimination
4Icebox,12,"""3-9""",RRQ,Defenders,Defuse
4Icebox,13,"""3-10""",PRX,Attackers,Elimination
4Icebox,14,"""3-11""",PRX,Attackers,Elimination
4Icebox,15,"""3-12""",PRX,Attackers,Elimination
4Icebox,16,"""3-13""",PRX,Attackers,Elimination
4Icebox,17,"""""",,,
4Icebox,18,"""""",,,
4Icebox,19,"""""",,,
4Icebox,20,"""""",,,
4Icebox,21,"""""",,,
4Icebox,22,"""""",,,
4Icebox,23,"""""",,,
4Icebox,24,"""""",,,
