Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
BuZz,T1,Map_2_2Ascent,All,Jett,0.95,252,14,16,2,-2,71%,169,41%,2,2,0
iZu,T1,Map_2_2Ascent,All,Sova,0.62,186,9,16,3,-7,65%,142,29%,0,3,-3
Sylvan,T1,Map_2_2Ascent,All,Omen,0.55,134,8,14,5,-6,59%,93,30%,1,1,0
stax,T1,Map_2_2Ascent,All,Kayo,0.53,156,9,16,4,-7,53%,106,29%,0,1,-1
Meteor,T1,Map_2_2Ascent,All,Killjoy,0.53,163,9,16,0,-7,47%,114,18%,3,4,-1
something,PRX,Map_2_2Ascent,All,Jett,1.60,306,19,10,5,+9,94%,188,14%,2,1,+1
Jinggg,PRX,Map_2_2Ascent,All,Omen,1.57,284,18,10,14,+8,94%,175,33%,4,2,+2
PatMen,PRX,Map_2_2Ascent,All,Kayo,1.48,272,18,10,9,+8,76%,183,27%,0,0,0
d4v41,PRX,Map_2_2Ascent,All,Vyse,1.42,204,14,8,6,+6,88%,153,24%,2,0,+2
f0rsakeN,PRX,Map_2_2Ascent,All,Fade,0.74,141,9,11,8,-2,71%,83,43%,3,3,0
BuZz,T1,Map_2_2Ascent,Attack,Jett,1.06,272,11,11,0,0,67%,164,45%,2,2,0
iZu,T1,Map_2_2Ascent,Attack,Sova,0.49,166,6,11,1,-5,58%,123,27%,0,2,-2
Sylvan,T1,Map_2_2Ascent,Attack,Omen,0.56,143,6,9,2,-3,58%,107,39%,1,0,+1
stax,T1,Map_2_2Ascent,Attack,Kayo,0.62,170,7,11,4,-4,58%,117,29%,0,0,0
Meteor,T1,Map_2_2Ascent,Attack,Killjoy,0.53,159,6,11,0,-5,42%,120,17%,2,3,-1
something,PRX,Map_2_2Ascent,Attack,Jett,2.64,483,9,2,1,+7,100%,253,29%,2,0,+2
Jinggg,PRX,Map_2_2Ascent,Attack,Omen,0.84,122,2,3,6,-1,100%,75,14%,0,0,0
PatMen,PRX,Map_2_2Ascent,Attack,Kayo,2.55,365,8,1,3,+7,80%,278,50%,0,0,0
d4v41,PRX,Map_2_2Ascent,Attack,Vyse,0.89,151,3,3,2,0,100%,96,7%,1,0,+1
f0rsakeN,PRX,Map_2_2Ascent,Attack,Fade,0.62,172,3,4,3,-1,80%,97,57%,1,1,0
BuZz,T1,Map_2_2Ascent,Defend,Jett,0.70,208,3,5,2,-2,80%,179,33%,0,0,0
iZu,T1,Map_2_2Ascent,Defend,Sova,0.91,236,3,5,2,-2,80%,187,31%,0,1,-1
Sylvan,T1,Map_2_2Ascent,Defend,Omen,0.52,115,2,5,3,-3,60%,59,11%,0,1,-1
stax,T1,Map_2_2Ascent,Defend,Kayo,0.30,127,2,5,0,-3,40%,82,29%,0,1,-1
Meteor,T1,Map_2_2Ascent,Defend,Killjoy,0.53,174,3,5,0,-2,60%,102,20%,1,1,0
something,PRX,Map_2_2Ascent,Defend,Jett,1.16,233,10,8,4,+2,92%,160,0%,0,1,-1
Jinggg,PRX,Map_2_2Ascent,Defend,Omen,1.88,353,16,7,8,+9,92%,217,37%,4,2,+2
PatMen,PRX,Map_2_2Ascent,Defend,Kayo,1.04,235,10,9,6,+1,75%,144,16%,0,0,0
d4v41,PRX,Map_2_2Ascent,Defend,Vyse,1.64,227,11,5,4,+6,83%,176,31%,1,0,+1
f0rsakeN,PRX,Map_2_2Ascent,Defend,Fade,0.79,129,6,7,5,-1,67%,77,36%,2,2,0
