Map,Round Number,Score,Winning Team,Winning Side,Win Method
1Haven,1,"""0-1""",GEN,Attackers,Elimination
1Haven,2,"""0-2""",GEN,Attackers,Spike Detonation
1Haven,3,"""1-2""",TLN,Defenders,Defuse
1Haven,4,"""1-3""",GEN,Attackers,Spike Detonation
1Haven,5,"""2-3""",TLN,Defenders,Defuse
1Haven,6,"""3-3""",TLN,Defenders,Defuse
1Haven,7,"""4-3""",TLN,Defenders,Defuse
1Haven,8,"""5-3""",TLN,Defenders,Elimination
1Haven,9,"""6-3""",TLN,Defenders,Defuse
1Haven,10,"""6-4""",GEN,Attackers,Spike Detonation
1Haven,11,"""7-4""",TLN,Defenders,Defuse
1Haven,12,"""7-5""",GEN,Attackers,Elimination
1Haven,13,"""8-5""",GEN,Attackers,Elimination
1Haven,14,"""9-5""",GEN,Attackers,Elimination
1Haven,15,"""10-5""",GEN,Attackers,Spike Detonation
1Haven,16,"""11-5""",GEN,Attackers,Elimination
1Haven,17,"""12-5""",GEN,Attackers,Elimination
1Haven,18,"""12-6""",TLN,Defenders,Defuse
1Haven,19,"""13-6""",GEN,Attackers,Elimination
1Haven,20,"""""",,,
1Haven,21,"""""",,,
1Haven,22,"""""",,,
1Haven,23,"""""",,,
1Haven,24,"""""",,,
