,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
free1ng DRX,,3 Round 13 Ivy Rb Round 19 Dambi Francis Round 23 Francis Persia,,,,1 Round 10 Rb,1 Round 19 Francis Dambi,,,,43,8,0
MaKo DRX,,2 Round 3 Francis Dambi Round 11 Persia Ivy,1 Round 7 Persia Ivy Francis,,,1 Round 15 Ivy,,,,,28,1,1
Estrella DRX,,2 Round 1 Francis Dambi Estrella Round 17 Ivy Rb,3 Round 4 Rb Dambi Ivy Round 6 Ivy Dambi Francis Round 19 Persia Rb Ivy,,,1 Round 1 Dambi,,,,,52,0,0
HYUNMIN DRX,,7 Round 1 Rb Persia Round 3 Ivy Persia Round 10 Francis Dambi Round 15 Rb Persia Round 17 Francis Dambi Round 18 Dambi Ivy Round 21 Rb Francis,1 Round 24 Francis Persia Rb,1 Round 5 Francis Persia Ivy Rb,,,,,,,73,0,0
Flashback DRX,,3 Round 21 Dambi Ivy Round 23 Ivy Dambi Round 24 Dambi Ivy,,,,,,,,,52,0,4
Rb NS,,1 Round 6 MaKo Estrella,2 Round 10 Estrella Flashback free1ng Rb Round 15 free1ng Flashback Estrella,,,1 Round 6 Estrella,,,,,31,2,2
Persia NS,,1 Round 4 MaKo Estrella,2 Round 9 Estrella HYUNMIN MaKo Round 12 HYUNMIN free1ng MaKo,,,,,,,,43,1,0
Dambi NS,,1 Round 19 HYUNMIN Estrella,1 Round 22 free1ng MaKo Estrella,1 Round 1 free1ng MaKo HYUNMIN Flashback,,,,,,,50,0,0
Francis NS,,5 Round 3 Estrella free1ng Round 7 Flashback Estrella Round 11 free1ng Flashback Round 12 Flashback Estrella Round 16 HYUNMIN MaKo,1 Round 13 MaKo Flashback HYUNMIN,1 Round 14 free1ng MaKo Estrella Flashback,,,,,,,60,0,1
Ivy NS,,4 Round 5 MaKo Estrella Round 8 free1ng Estrella Round 10 MaKo HYUNMIN Round 11 Estrella HYUNMIN,1 Round 20 free1ng Flashback HYUNMIN,,,,,,,,42,7,0
