,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Munchkin GEN,,1 Round 11 UdoTan ban,,,,,,,,,36,0,0
t3xture GEN,,1 Round 8 Papi yoman,1 Round 14 yoman ban Kr1stal,,1 Round 6 ban Papi UdoTan yoman Kr1stal,,,,,,58,0,0
Foxy9 GEN,,1 Round 9 Kr1stal Papi,1 Round 15 UdoTan ban yoman,,,,,,,,46,0,0
Ash GEN,,1 Round 3 ban Papi,,,,,,,,,27,3,0
Karon GEN,,1 Round 12 Papi ban,1 Round 9 UdoTan Papi ban,,,,,,,,36,0,0
UdoTan GE,,2 Round 10 t3xture Munchkin Round 16 Foxy9 Ash,2 Round 3 Karon Foxy9 Ash Round 5 Munchkin Karon Foxy9,,,,,,,,78,1,0
ban GE,,3 Round 6 Karon Munchkin Round 8 t3xture Ash Round 10 Karon Ash,,,,,,,,,59,0,0
Kr1stal GE,,3 Round 8 Foxy9 Karon Round 11 Ash t3xture Round 12 Foxy9 Munchkin,1 Round 2 Karon Foxy9 t3xture,,,,,,,,96,0,0
Papi GE,,3 Round 1 t3xture Ash Round 4 Foxy9 t3xture Round 16 t3xture Karon,1 Round 13 Karon Ash Munchkin,,,,,,,,70,1,0
yoman GE,,,1 Round 9 Karon Foxy9 t3xture,,,,2 Round 9 t3xture Foxy9 Round 9 t3xture Foxy9,,,,39,8,1
