Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Karon,GEN,All_Maps,All,Omen,1.43,248,33,20,26,+13,92%,154,36%,3,1,+2
t3xture,GEN,All_Maps,All,"Raze, Jett",1.39,273,38,20,8,+18,81%,168,16%,10,1,+9
Ash,GEN,All_Maps,All,"Fade, Sova",1.27,235,33,21,9,+12,86%,157,30%,1,1,0
Foxy9,GEN,All_Maps,All,Killjoy,1.23,218,30,17,10,+13,84%,145,31%,6,4,+2
Munchkin,GEN,All_Maps,All,"Viper, Kayo",1.05,193,23,20,20,+3,78%,136,16%,5,5,0
invy,TS,All_Maps,All,"Fade, Sova",1.11,237,31,29,5,+2,65%,154,36%,3,3,0
n1zzy,TS,All_Maps,All,"Killjoy, Yoru",0.85,168,22,31,6,-9,62%,118,47%,4,9,-5
Wild0reoo,TS,All_Maps,All,"Viper, Cypher",0.67,140,16,32,11,-16,59%,100,39%,1,3,-2
ZesBeeW,TS,All_Maps,All,Omen,0.66,104,14,31,17,-17,62%,61,30%,1,2,-1
kellyS,TS,All_Maps,All,"Raze, Deadlock",0.47,138,15,34,7,-19,59%,93,19%,3,8,-5
Karon,GEN,All_Maps,Attack,Omen,1.84,334,26,11,16,+15,86%,202,47%,2,0,+2
t3xture,GEN,All_Maps,Attack,"Raze, Jett",1.11,239,20,14,2,+6,76%,141,25%,3,1,+2
Ash,GEN,All_Maps,Attack,"Fade, Sova",0.94,181,13,14,6,-1,76%,119,35%,0,1,-1
Foxy9,GEN,All_Maps,Attack,Killjoy,1.16,237,18,12,4,+6,86%,153,28%,4,1,+3
Munchkin,GEN,All_Maps,Attack,"Viper, Kayo",0.55,139,7,14,8,-7,67%,102,10%,4,5,-1
invy,TS,All_Maps,Attack,"Fade, Sova",0.91,200,12,14,2,-2,56%,111,21%,0,0,0
n1zzy,TS,All_Maps,Attack,"Killjoy, Yoru",0.35,110,5,15,3,-10,50%,75,42%,2,5,-3
Wild0reoo,TS,All_Maps,Attack,"Viper, Cypher",0.64,147,6,15,5,-9,56%,104,35%,1,2,-1
ZesBeeW,TS,All_Maps,Attack,Omen,0.66,115,7,14,7,-7,50%,63,28%,0,2,-2
kellyS,TS,All_Maps,Attack,"Raze, Deadlock",0.20,77,3,15,3,-12,44%,48,0%,1,3,-2
Karon,GEN,All_Maps,Defend,Omen,0.89,122,7,9,10,-2,100%,90,19%,1,1,0
t3xture,GEN,All_Maps,Defend,"Raze, Jett",1.75,333,18,6,6,+12,88%,203,9%,7,0,+7
Ash,GEN,All_Maps,Defend,"Fade, Sova",1.70,292,20,7,3,+13,100%,206,28%,1,0,+1
Foxy9,GEN,All_Maps,Defend,Killjoy,1.31,197,12,5,6,+7,81%,135,35%,2,3,-1
Munchkin,GEN,All_Maps,Defend,"Viper, Kayo",1.69,272,16,6,12,+10,94%,181,21%,1,0,+1
invy,TS,All_Maps,Defend,"Fade, Sova",1.27,277,19,15,3,+4,71%,186,45%,3,3,0
n1zzy,TS,All_Maps,Defend,"Killjoy, Yoru",1.23,205,17,16,3,+1,71%,150,50%,2,4,-2
Wild0reoo,TS,All_Maps,Defend,"Viper, Cypher",0.70,136,10,17,6,-7,62%,96,43%,0,1,-1
ZesBeeW,TS,All_Maps,Defend,Omen,0.66,100,7,17,10,-10,71%,59,32%,1,0,+1
kellyS,TS,All_Maps,Defend,"Raze, Deadlock",0.67,178,12,19,4,-7,71%,128,28%,2,5,-3
