Map,Round Number,Score,Winning Team,Winning Side,Win Method
2Ascent,1,"""0-1""",TS,Attackers,Elimination
2Ascent,2,"""0-2""",TS,Attackers,Elimination
2Ascent,3,"""1-2""",NS,Defenders,Defuse
2Ascent,4,"""2-2""",NS,Defenders,Time Expired
2Ascent,5,"""3-2""",NS,Defenders,Elimination
2Ascent,6,"""3-3""",TS,Attackers,Elimination
2Ascent,7,"""3-4""",TS,Attackers,Spike Detonation
2Ascent,8,"""3-5""",TS,Attackers,Elimination
2Ascent,9,"""3-6""",TS,Attackers,Elimination
2Ascent,10,"""4-6""",NS,Defenders,Elimination
2Ascent,11,"""5-6""",NS,Defenders,Elimination
2Ascent,12,"""6-6""",NS,Defenders,Elimination
2Ascent,13,"""6-7""",NS,Defenders,Elimination
2Ascent,14,"""6-8""",NS,Defenders,Defuse
2Ascent,15,"""7-8""",TS,Attackers,Elimination
2Ascent,16,"""8-8""",TS,Attackers,Elimination
2Ascent,17,"""9-8""",TS,Attackers,Elimination
2Ascent,18,"""9-9""",NS,Defenders,Defuse
2Ascent,19,"""10-9""",TS,Attackers,Spike Detonation
2Ascent,20,"""11-9""",TS,Attackers,Elimination
2Ascent,21,"""11-10""",NS,Defenders,Defuse
2Ascent,22,"""12-10""",TS,Attackers,Spike Detonation
2Ascent,23,"""13-10""",TS,Attackers,Elimination
2Ascent,24,"""""",,,
