,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Jinggg PRX,,,,,,,,,,,36,0,0
f0rsakeN PRX,,3 Round 6 gyen Jinboong Round 7 Akame Jinboong Round 13 Akame SSeeS,1 Round 5 Meiy Akame SSeeS,,,,,,,,55,1,0
d4v41 PRX,,5 Round 6 Akame SSeeS Round 8 Akame gyen Round 9 Meiy SSeeS Round 14 Akame Jinboong Round 15 SSeeS Jinboong,2 Round 1 Akame Jinboong Meiy Round 16 SSeeS Akame Jinboong,1 Round 17 Meiy Akame SSeeS gyen,,,,,,,84,1,1
PatMen PRX,,2 Round 12 gyen Jinboong Round 13 Jinboong Meiy,1 Round 2 gyen Meiy Akame,,,,,,,,53,5,1
something PRX,,3 Round 8 Meiy Jinboong Round 9 Jinboong Akame Round 18 gyen SSeeS,3 Round 4 Jinboong gyen Meiy Round 12 Akame SSeeS Meiy Round 14 SSeeS Meiy gyen,,,,1 Round 4 gyen Meiy,,,,58,0,1
Jinboong DFM,,1 Round 6 something d4v41,,,,,,,,,30,3,0
Meiy DFM,,2 Round 4 f0rsakeN d4v41 Round 11 f0rsakeN d4v41,1 Round 19 f0rsakeN PatMen d4v41,,,,,,,,43,2,1
Akame DFM,,1 Round 17 PatMen f0rsakeN,2 Round 10 Jinggg d4v41 PatMen Round 15 something d4v41 Jinggg,,,,,,,,54,0,1
SSeeS DFM,,2 Round 3 d4v41 something Round 13 d4v41 PatMen,,,,,,,,,25,2,0
gyen DFM,,2 Round 11 Jinggg PatMen Round 19 something Jinggg,3 Round 3 Jinggg PatMen f0rsakeN Round 9 PatMen d4v41 something Round 16 f0rsakeN PatMen d4v41,,,1 Round 16 d4v41,1 Round 9 d4v41 something,,,,80,0,0
