,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
crazyguy RRQ,,1 Round 11 JessieVash invy,1 Round 9 n1zzy JessieVash Wild0reoo,,,,,,,,38,4,0
Kushy RRQ,,4 Round 2 n1zzy Wild0reoo Round 3 Wild0reoo invy Round 4 JessieVash kellyS Round 26 JessieVash n1zzy,,,,,1 Round 4 kellyS JessieVash,,,,29,1,1
xffero RRQ,,4 Round 4 Wild0reoo invy Round 8 JessieVash Wild0reoo Round 13 Wild0reoo JessieVash Round 24 n1zzy kellyS,2 Round 12 n1zzy JessieVash Wild0reoo Round 25 n1zzy JessieVash invy,1 Round 10 invy Wild0reoo JessieVash kellyS,,,,,,,45,2,0
Monyet RRQ,,2 Round 3 n1zzy kellyS Round 11 Wild0reoo n1zzy,1 Round 6 n1zzy kellyS invy,,,,,,,,42,0,0
Jemkin RRQ,,4 Round 8 n1zzy invy Round 13 n1zzy invy Round 14 invy n1zzy Round 21 invy JessieVash,1 Round 5 n1zzy Wild0reoo JessieVash,,,2 Round 6 JessieVash Round 25 kellyS,,,,,40,0,1
JessieVash TS,,3 Round 16 crazyguy xffero Round 17 crazyguy Monyet Round 26 Jemkin Monyet,1 Round 6 Kushy Monyet crazyguy,,,,,,,,42,1,1
kellyS TS,,5 Round 1 Kushy xffero Round 16 Jemkin Monyet Round 17 Jemkin xffero Round 24 Jemkin crazyguy Round 26 Kushy crazyguy,1 Round 25 crazyguy xffero Kushy,1 Round 28 Monyet Jemkin Kushy crazyguy,,,,,,,68,1,0
invy TS,,3 Round 1 crazyguy Monyet Round 11 Monyet Jemkin Round 20 Jemkin Kushy,4 Round 7 Jemkin crazyguy Kushy Round 13 Monyet crazyguy Kushy Round 24 Monyet Kushy xffero Round 27 Jemkin Monyet xffero,,,,,,,,67,1,1
Wild0reoo TS,,2 Round 4 Jemkin Monyet Round 21 Jemkin Monyet,,,,,,,,,28,2,2
n1zzy TS,,5 Round 2 xffero Monyet Round 12 crazyguy Jemkin Round 19 Kushy Jemkin Round 21 xffero Kushy Round 23 Kushy xffero,1 Round 18 xffero crazyguy Monyet,1 Round 22 Kushy Monyet xffero Jemkin,,,,,,,52,1,0
