,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
crazyguy RRQ,,2 Round 7 JessieVash kellyS Round 9 invy Wild0reoo,1 Round 8 n1zzy kellyS invy,,,,,,,,48,2,2
Kushy RRQ,,5 Round 2 kellyS Wild0reoo Round 6 n1zzy kellyS Round 10 n1zzy invy Round 11 Wild0reoo kellyS Round 15 kellyS JessieVash,,,,1 Round 17 invy,,,,,75,1,0
xffero RRQ,,4 Round 8 Wild0reoo JessieVash Round 12 invy kellyS Round 16 JessieVash n1zzy Round 17 kellyS Wild0reoo,,1 Round 5 Wild0reoo kellyS n1zzy JessieVash,,,,,,,109,0,3
Monyet RRQ,,3 Round 6 invy JessieVash Round 10 Wild0reoo kellyS Round 17 JessieVash n1zzy,,,,1 Round 10 kellyS,,,,,43,0,1
Jemkin RRQ,,5 Round 1 kellyS n1zzy Round 2 JessieVash invy Round 4 invy Wild0reoo Round 9 JessieVash kellyS Round 12 Wild0reoo JessieVash,1 Round 3 n1zzy Wild0reoo invy,,,,,,,,87,0,0
JessieVash TS,,1 Round 15 xffero crazyguy,,,,,,,,,28,3,0
kellyS TS,,1 Round 9 crazyguy xffero,,1 Round 16 crazyguy xffero Jemkin Monyet,,,,,,,65,1,0
invy TS,,1 Round 2 xffero Kushy,,1 Round 17 crazyguy xffero Monyet Kushy invy,,,,,,,46,2,1
Wild0reoo TS,,2 Round 12 crazyguy Kushy Round 15 Jemkin Kushy,,,,1 Round 15 Kushy,,,,,27,0,0
n1zzy TS,,4 Round 6 Jemkin Monyet Round 8 Monyet Kushy Round 9 xffero Jemkin Round 14 Jemkin xffero,,1 Round 13 Kushy crazyguy Jemkin xffero,,,,,,,58,0,1
