Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
DH,T1,Map_1_1Sunset,All,Omen,1.43,201,14,10,15,+4,79%,141,37%,1,1,0
iZu,T1,Map_1_1Sunset,All,Neon,1.30,274,19,11,1,+8,53%,179,28%,2,4,-2
Meteor,T1,Map_1_1Sunset,All,Cypher,1.07,223,15,13,5,+2,79%,136,35%,3,3,0
BuZz,T1,Map_1_1Sunset,All,Yoru,0.97,164,13,13,2,0,68%,106,28%,2,2,0
stax,T1,Map_1_1Sunset,All,Sova,0.80,162,11,14,7,-3,74%,102,36%,0,1,-1
gyen,DFM,Map_1_1Sunset,All,Viper,1.01,226,13,14,6,-1,68%,146,29%,2,2,0
Meiy,DFM,Map_1_1Sunset,All,Neon,0.95,246,15,16,3,-1,58%,149,20%,2,2,0
Akame,DFM,Map_1_1Sunset,All,Omen,0.93,203,15,14,6,+1,74%,120,29%,3,2,+1
Jinboong,DFM,Map_1_1Sunset,All,Deadlock,0.71,118,9,13,1,-4,53%,74,33%,2,2,0
SSeeS,DFM,Map_1_1Sunset,All,Sova,0.68,145,9,15,2,-6,74%,97,17%,2,0,+2
DH,T1,Map_1_1Sunset,Attack,Omen,1.65,227,10,5,11,+5,92%,166,35%,1,1,0
iZu,T1,Map_1_1Sunset,Attack,Neon,1.33,253,11,6,1,+5,58%,163,29%,2,2,0
Meteor,T1,Map_1_1Sunset,Attack,Cypher,1.34,244,11,7,3,+4,83%,152,36%,2,2,0
BuZz,T1,Map_1_1Sunset,Attack,Yoru,0.90,157,8,8,2,0,75%,108,26%,0,2,-2
stax,T1,Map_1_1Sunset,Attack,Sova,1.18,223,10,8,6,+2,92%,140,42%,0,0,0
gyen,DFM,Map_1_1Sunset,Attack,Viper,1.16,215,5,4,1,+1,86%,133,24%,1,1,0
Meiy,DFM,Map_1_1Sunset,Attack,Neon,1.12,277,7,5,1,+2,57%,161,19%,1,1,0
Akame,DFM,Map_1_1Sunset,Attack,Omen,1.60,307,8,4,3,+4,86%,163,33%,2,0,+2
Jinboong,DFM,Map_1_1Sunset,Attack,Deadlock,0.82,131,4,4,0,0,57%,101,67%,0,1,-1
SSeeS,DFM,Map_1_1Sunset,Attack,Sova,0.73,118,3,5,2,-2,86%,75,10%,0,0,0
DH,T1,Map_1_1Sunset,Defend,Omen,1.06,159,4,5,4,-1,57%,98,42%,0,0,0
iZu,T1,Map_1_1Sunset,Defend,Neon,1.25,312,8,5,0,+3,43%,205,28%,0,2,-2
Meteor,T1,Map_1_1Sunset,Defend,Cypher,0.61,190,4,6,2,-2,71%,109,33%,1,1,0
BuZz,T1,Map_1_1Sunset,Defend,Yoru,1.10,178,5,5,0,0,57%,102,33%,2,0,+2
stax,T1,Map_1_1Sunset,Defend,Sova,0.16,59,1,6,1,-5,43%,39,17%,0,1,-1
gyen,DFM,Map_1_1Sunset,Defend,Viper,0.93,234,8,10,5,-2,58%,153,33%,1,1,0
Meiy,DFM,Map_1_1Sunset,Defend,Neon,0.84,228,8,11,2,-3,58%,141,21%,1,1,0
Akame,DFM,Map_1_1Sunset,Defend,Omen,0.54,144,7,10,3,-3,67%,94,25%,1,2,-1
Jinboong,DFM,Map_1_1Sunset,Defend,Deadlock,0.64,111,5,9,1,-4,50%,59,17%,2,1,+1
SSeeS,DFM,Map_1_1Sunset,Defend,Sova,0.64,162,6,10,0,-4,67%,109,21%,2,0,+2
